Dealership,Red Cars,Silver Cars,Black Cars,Blue Cars,When Sold Month,When Sold Year
A,451,325,377,396,1,2018
A,355,238,259,246,2,2018
A,124,456,303,175,3,2018
A,391,456,429,223,4,2018
A,139,177,241,376,5,2018
A,345,311,413,126,6,2018
A,257,428,118,184,7,2018
A,122,392,280,269,8,2018
A,217,124,149,252,9,2018
A,164,147,252,113,10,2018
A,220,354,266,168,11,2018
A,366,305,397,135,12,2018
A,367,180,255,107,1,2019
A,400,382,269,309,2,2019
A,305,247,202,222,3,2019
A,132,239,415,452,4,2019
A,145,237,361,310,5,2019
A,146,303,240,353,6,2019
A,346,315,205,242,7,2019
A,348,234,421,189,8,2019
A,112,118,414,385,9,2019
A,139,266,435,219,10,2019
A,325,124,460,297,11,2019
A,247,336,130,265,12,2019
B,235,313,363,417,1,2018
B,223,135,163,256,2,2018
B,447,308,186,280,3,2018
B,182,177,108,146,4,2018
B,164,303,323,455,5,2018
B,295,209,415,249,6,2018
B,363,234,165,320,7,2018
B,348,145,117,308,8,2018
B,312,283,443,373,9,2018
B,305,365,295,418,10,2018
B,297,411,411,394,11,2018
B,352,177,454,363,12,2018
B,172,365,337,271,1,2019
B,391,138,172,378,2,2019
B,247,410,285,133,3,2019
B,456,414,182,313,4,2019
B,112,266,394,193,5,2019
B,286,200,234,197,6,2019
B,457,116,393,302,7,2019
B,224,331,259,135,8,2019
B,284,398,170,313,9,2019
B,199,230,170,112,10,2019
B,322,246,135,439,11,2019
B,409,170,317,387,12,2019
