Total_Cars,Date,Dealership,Red_cars,Silver_Cars,Black_Cars,Blue_Cars
1549,2018-01-01,A,451,325,377,396
1098,2018-02-01,A,355,238,259,246
1058,2018-03-01,A,124,456,303,175
1499,2018-04-01,A,391,456,429,223
933,2018-05-01,A,139,177,241,376
1195,2018-06-01,A,345,311,413,126
987,2018-07-01,A,257,428,118,184
1063,2018-08-01,A,122,392,280,269
742,2018-09-01,A,217,124,149,252
676,2018-10-01,A,164,147,252,113
1008,2018-11-01,A,220,354,266,168
1203,2018-12-01,A,366,305,397,135
909,2019-01-01,A,367,180,255,107
1360,2019-02-01,A,400,382,269,309
976,2019-03-01,A,305,247,202,222
1238,2019-04-01,A,132,239,415,452
1053,2019-05-01,A,145,237,361,310
1042,2019-06-01,A,146,303,240,353
1108,2019-07-01,A,346,315,205,242
1192,2019-08-01,A,348,234,421,189
1029,2019-09-01,A,112,118,414,385
1059,2019-10-01,A,139,266,435,219
1206,2019-11-01,A,325,124,460,297
978,2019-12-01,A,247,336,130,265
1328,2018-01-01,B,235,313,363,417
777,2018-02-01,B,223,135,163,256
1221,2018-03-01,B,447,308,186,280
613,2018-04-01,B,182,177,108,146
1245,2018-05-01,B,164,303,323,455
1168,2018-06-01,B,295,209,415,249
1082,2018-07-01,B,363,234,165,320
918,2018-08-01,B,348,145,117,308
1411,2018-09-01,B,312,283,443,373
1383,2018-10-01,B,305,365,295,418
1513,2018-11-01,B,297,411,411,394
1346,2018-12-01,B,352,177,454,363
1145,2019-01-01,B,172,365,337,271
1079,2019-02-01,B,391,138,172,378
1075,2019-03-01,B,247,410,285,133
1365,2019-04-01,B,456,414,182,313
965,2019-05-01,B,112,266,394,193
917,2019-06-01,B,286,200,234,197
1268,2019-07-01,B,457,116,393,302
949,2019-08-01,B,224,331,259,135
1165,2019-09-01,B,284,398,170,313
711,2019-10-01,B,199,230,170,112
1142,2019-11-01,B,322,246,135,439
1283,2019-12-01,B,409,170,317,387
