Opponent_clean,HI_POINTS_Player,HI_POINTS_Value,HI_REBOUNDS_Player,HI_REBOUNDS_Value,HI_ASSISTS_Player,HI_ASSISTS_Value,Win_or_loss,Home_or_Away,True_date,Opponent,Result,W_L
Minnesota,DeRozan,28,Aldridge,19,Gasol,6,W,Home,2018-10-18,vsMinnesota,W112-108,1-0
Portland,DeRozan,28,Aldridge,8,DeRozan,9,L,Away,2018-10-21,@Portland,L121-108,1-1
"Los Angeles",Aldridge,37,Cunningham,12,DeRozan,14,W,Away,2018-10-23,"@Los Angeles","W143-142 OT",2-1
Indiana,DeRozan,18,Aldridge,13,DeRozan,4,L,Home,2018-10-25,vsIndiana,L116-96,2-2
"Los Angeles",DeRozan,30,DeRozan,12,DeRozan,8,W,Home,2018-10-28,"vsLos Angeles",W110-106,3-2
Dallas,DeRozan,34,Gay,11,DeRozan,9,W,Home,2018-10-30,vsDallas,"W113-108 OT",4-2
Phoenix,DeRozan,25,Gasol,9,Forbes,7,W,Away,2018-11-01,@Phoenix,W120-90,5-2
"New Orleans",DeRozan,26,Aldridge,12,Mills,7,W,Home,2018-11-04,"vsNew Orleans",W109-95,6-2
Orlando,DeRozan,25,Gasol,8,DeRozan,5,L,Home,2018-11-05,vsOrlando,L117-110,6-3
Miami,Mills,20,Aldridge,16,DeRozan,8,L,Away,2018-11-08,@Miami,L95-88,6-4
Houston,Aldridge,27,DeRozan,11,White,8,W,Home,2018-11-11,vsHouston,W96-89,7-4
Sacramento,DeRozan,23,Aldridge,18,DeRozan,8,L,Away,2018-11-13,@Sacramento,L104-99,7-5
Phoenix,DeRozan,24,Aldridge,12,DeRozan,4,L,Away,2018-11-15,@Phoenix,L116-96,7-6
LA,DeRozan,34,Aldridge,16,DeRozan,5,L,Away,2018-11-16,@LA,L116-111,7-7
"Golden State",Aldridge,24,Aldridge,18,DeRozan,9,W,Home,2018-11-19,"vsGolden State",W104-92,8-7
"New Orleans",DeRozan,21,Aldridge,10,DeRozan,5,L,Away,2018-11-20,"@New Orleans",L140-126,8-8
Memphis,DeRozan,24,Aldridge,11,DeRozan,5,L,Home,2018-11-22,vsMemphis,L104-103,8-9
Indiana,Aldridge,33,Aldridge,14,Gay,7,W,Away,2018-11-24,@Indiana,W111-100,9-9
Milwaukee,DeRozan,34,Cunningham,10,DeRozan,7,L,Away,2018-11-25,@Milwaukee,L135-129,9-10
Chicago,DeRozan,21,DeRozan,8,Forbes,6,W,Away,2018-11-27,@Chicago,W108-107,10-10
Minnesota,Poeltl,14,Aldridge,9,White,4,L,Away,2018-11-29,@Minnesota,L128-89,10-11
Houston,Aldridge,20,Gay,8,White,9,L,Home,2018-12-01,vsHouston,L136-105,10-12
Portland,DeRozan,36,DeRozan,8,DeRozan,6,W,Home,2018-12-03,vsPortland,W131-118,11-12
Utah,Poeltl,20,Poeltl,7,DeRozan,7,L,Away,2018-12-05,@Utah,L139-105,11-13
"Los Angeles",DeRozan,32,Aldridge,9,White,5,L,Away,2018-12-06,"@Los Angeles",L121-113,11-14
"Los Angeles",DeRozan,36,DeRozan,8,DeRozan,9,W,Home,2018-12-08,"vsLos Angeles",W133-120,12-14
Utah,DeRozan,26,Gay,15,DeRozan,8,W,Home,2018-12-10,vsUtah,W110-97,13-14
Phoenix,Forbes,24,Forbes,11,DeRozan,9,W,Home,2018-12-12,vsPhoenix,W111-86,14-14
LA,Aldridge,27,Gay,6,DeRozan,7,W,Home,2018-12-14,vsLA,W125-87,15-14
Chicago,Aldridge,29,Aldridge,12,Gay,4,L,Home,2018-12-16,vsChicago,L98-93,15-15
Philadelphia,Gay,21,Aldridge,10,DeRozan,7,W,Home,2018-12-18,vsPhiladelphia,W123-96,16-15
Orlando,Aldridge,20,DeRozan,7,DeRozan,6,W,Away,2018-12-20,@Orlando,W129-90,17-15
Minnesota,Forbes,22,Aldridge,9,DeRozan,8,W,Home,2018-12-22,vsMinnesota,W124-98,18-15
Houston,DeRozan,28,Gay,8,DeRozan,8,L,Away,2018-12-23,@Houston,L108-101,18-16
Denver,DeRozan,30,Poeltl,11,DeRozan,5,W,Home,2018-12-27,vsDenver,W111-103,19-16
Denver,Aldridge,24,Aldridge,7,DeRozan,5,L,Away,2018-12-29,@Denver,L102-99,19-17
LA,Aldridge,38,DeRozan,13,Forbes,7,W,Away,2018-12-30,@LA,W122-111,20-17
