Date,Customer_ID,Notes
Monday,72617,Emailed. #2080 asking for a statement
Monday,39822,Call came in correcting the incorrect corrected postcode. #4030 updated and I've sent the client a link to an optician
Monday,29439,Called about their policy #4899. Wanted to know the balance.
Tuesday,29439,Called about incorrect balance on policy #4899
Tuesday,12219,Email about #2001. Complaint about complaint note being dealt with fast enough.
Wednesday,34399,Email regarding #4002. Statement requested.
Thursday,99999,Call. Wrong number.
Thursday,99999,Call. Still the wrong number
Thursday,99999,Email. Asking for the correct number for Pizza Junction. 
Friday,29439,Email about #4899. Customer thanking me for my awesome work. Apparently I rock!
Friday,72617,Email. Wants to close policy #2080. 
