Type,Action,Date,Quantity,Store_ID,Crime_Ref_Number
Bar,Theft,19/03/2019,10,OX1,S04P1
Bar,Stock Adjusted,25/03/2019,-10,OX1,S04P1
Bar,Theft,22/03/2019,5,OX1,S04P2
Bar,Stock Adjusted,25/03/2019,-4,OX1,S04P2
Liquid,Theft,02/03/2019,100,WM1,S04P3
Liquid,Stock Adjusted,02/03/2019,-100,WM1,S04P3
Bar,Theft,03/04/2019,5,WM2,S04P4
Luquid,Theft,22/03/2019,14,OX1,S04P5
Liquid,Theft,02/02/2019,2,WM2,S04P6
Liquid,Stock Adjusted,03/04/2019,-2,WM2,S04P6
Soap Bar,Theft,28/02/2019,22,WM1,S04P7
Soap Bar,Stock Adjusted,01/03/2019,-20,WM1,S04P7
Liquid,Theft,27/02/2019,105,OX1,S04P8
Liquid,Stock Adjusted,01/03/2019,-105,OX1,S04P8
