City_corrected,Date,Wind_speed_-_mph,Max_Temperature_-_Celsius,"Min Temperature_-_Celsius",Precipitation_-_mm
Edinburg,16-02-2019,13,11,8,4
Edinburg,17-02-2019,17,12,6,9
Edinburg,18-02-2019,20,9,5,11
Edinburg,19-02-2019,13,9,7,14
Edinburg,20-02-2019,13,11,8,18
Edinburg,21-02-2019,11,13,8,8
Edinburg,22-02-2019,12,13,9,8
London,16-02-2019,7,13,6,2
London,17-02-2019,12,14,9,0
London,18-02-2019,10,11,4,12
London,19-02-2019,11,12,8,4
London,20-02-2019,13,13,9,2
London,21-02-2019,8,15,8,2
London,22-02-2019,7,16,9,0
