Longitude,Latitude,Fellow Artists,Artist,Concert Date,Concert,Venue,Location,Hometown,Home Longitude,Home Latitude
-90.089888,29.947893,Lauv,Ed Sheeran,31/10/2018,Ed Sheeran / Snow Patrol / Lauv,Mercedes-Benz Superdome,"New Orleans, LA",Framlingham,1.34234,52.222283
-73.988863,40.745820,Michael Kiwanuka,Ben Howard,29/07/2013,Ben Howard / Michael Kiwanuka,Central Park Summerstage,"New York, NY",Totnes,-3.685109,50.434792
-77.038258,38.907194,,Ben Howard,26/09/2015,Landmark Music Festival,The National Mall,"Washington, D.C.",Totnes,-3.685109,50.434792
-74.077492,40.806756,,Ed Sheeran,13/07/2013,Red Tour,MetLife Stadium,"East Rutherford, NJ",Framlingham,1.34234,52.222283
151.197465,-33.875250,,Ed Sheeran,16/03/2018,Divide Tour,ANZ Stadium,"Sydney, NSW",Framlingham,1.34234,52.222283
-1.551537,53.802612,,Ed Sheeran,26/08/2011,Leeds Festival 2011,Bramham Park,"Leeds, United Kingdom",Framlingham,1.34234,52.222283
-95.398706,29.759377,,Ed Sheeran,16/05/2013,The Red Tour,Toyota Center,"Houston, TX",Framlingham,1.34234,52.222283
-82.451586,27.954319,Jamie Lawson,Ed Sheeran,10/09/2015,Ed Sheeran / Christina Perri / Jamie Lawson,St. Pete Times Forum,"Tampa, FL",Framlingham,1.34234,52.222283
-83.051879,42.330650,,Ed Sheeran,04/05/2013,Taylor Swift / Ed Sheeran / Austin Mahone,Ford Field,"Detroit, MI",Framlingham,1.34234,52.222283
-73.988863,40.745820,,Ed Sheeran,26/09/2015,Pearl Jam / Beyoncé / Ed Sheeran / Coldplay,Central Park Great Lawn,"New York, NY",Framlingham,1.34234,52.222283
-0.125079,51.505809,Bear's Den,Ben Howard,06/07/2013,Mumford & Sons / Vampire Weekend / Ben Howard / Edward Sharpe & The Magnetic Zeros / HAIM / Bear's Den,Queen Elizabeth Olympic Park,"London, UK",Totnes,-3.685109,50.434792
-0.125079,51.505809,,Ben Howard,06/07/2013,Mumford & Sons / Vampire Weekend / Ben Howard / Edward Sharpe & The Magnetic Zeros / HAIM / Bear's Den,Queen Elizabeth Olympic Park,"London, UK",Totnes,-3.685109,50.434792
-122.322863,47.603573,Calvin Harris,Ed Sheeran,16/12/2012,Calvin Harris / Afrojack / 3OH!3 / Cher Lloyd / Ed Sheeran / Owl City / Alex Clare,WAMU Theater,"Seattle, WA",Framlingham,1.34234,52.222283
-75.173719,39.953464,Taylor Swift,Ed Sheeran,20/07/2013,Ed Sheeran / Austin Mahone / Taylor Swift,Lincoln Financial Field,"Philadelphia, PA",Framlingham,1.34234,52.222283
,,,Ed Sheeran,27/07/2013,Red Tour,,,Framlingham,1.34234,52.222283
-115.154230,36.166453,,Ed Sheeran,15/05/2015,Rock in Rio USA 2015,City of Rock MGM Resorts Festival Grounds,"Las Vegas, NV",Framlingham,1.34234,52.222283
-85.671757,42.963106,,Ed Sheeran,17/07/2013,Ed Sheeran,Fifth Third Bank Ballpark,"Grand Rapids, MI",Framlingham,1.34234,52.222283
101.691225,3.059068,,Ed Sheeran,14/11/2017,Ed Sheeran,Axiata Arena,Bukit Jalil,Framlingham,1.34234,52.222283
-80.196168,25.760712,,Ed Sheeran,09/09/2015,X Tour,American Airlines Arena,"Miami, FL",Framlingham,1.34234,52.222283
-78.641050,35.779027,Taylor Swift,Ed Sheeran,13/09/2013,Ed Sheeran / Taylor Swift,PNC Arena,"Raleigh, NC",Framlingham,1.34234,52.222283
-96.821960,33.151372,Christina Perri,Ed Sheeran,05/09/2015,Ed Sheeran / Christina Perri / Jamie Lawson,Toyota Stadium,"Frisco, TX",Framlingham,1.34234,52.222283
8.925297,47.973915,,Ed Sheeran,20/06/2014,Southside Festival 2014,take-off GewerbePark,"Neuhausen ob Eck, Germany",Framlingham,1.34234,52.222283
-75.173719,39.953464,,Ben Howard,27/03/2012,Communion Austin to Boston Tour,World Cafe Live,"Philadelphia, PA",Totnes,-3.685109,50.434792
4.898671,52.369580,,Ed Sheeran,03/11/2014,Ed Sheeran / Jamie Lawson / Saint Rayman,Ziggo Dome,"Amsterdam,",Framlingham,1.34234,52.222283
-73.758881,42.652630,,Ed Sheeran,13/05/2015,Ed Sheeran / Foy Vance / Ben Kweller,Times Union Center,"Albany, NY",Framlingham,1.34234,52.222283
-82.451586,27.954319,,Ed Sheeran,29/08/2017,Ed Sheeran / James Blunt,Amalie Arena,"Tampa, FL",Framlingham,1.34234,52.222283
-122.419722,37.776648,Foy Vance,Ed Sheeran,08/02/2013,Ed Sheeran / Foy Vance / Rizzle Kicks,The Warfield,"San Francisco, CA",Framlingham,1.34234,52.222283
-73.988863,40.745820,,Ed Sheeran,26/09/2015,Global Citizen,Central Park Great Lawn,"New York, NY",Framlingham,1.34234,52.222283
-83.133654,42.680396,Timeflies,Ed Sheeran,12/06/2014,Icona Pop / Little Mix / Timeflies / Ed Sheeran / Amp Live / Austin Mahone,Meadow Brook Amphitheatre,"Rochester Hills, MI",Framlingham,1.34234,52.222283
-81.378980,28.537773,Passenger,Ed Sheeran,08/09/2012,Ed Sheeran / Passenger,House of Blues,"Orlando, FL",Framlingham,1.34234,52.222283
-82.451586,27.954319,Bridgit Mendler,Ed Sheeran,09/12/2012,Justin Bieber / Ke$ha / OneRepublic / Sean Kingston / Ed Sheeran / The Ready Set / Bridgit Mendler / Austin Mahone / PSY / Walk the Moon,St. Pete Times Forum,"Tampa, FL",Framlingham,1.34234,52.222283
-118.250767,34.052391,,Ed Sheeran,17/02/2013,Ed Sheeran / Rizzle Kicks / Foy Vance,Microsoft Theater,"Los Angeles, CA",Framlingham,1.34234,52.222283
-0.125079,51.505809,One Direction,Ben Howard,20/02/2013,Muse / Robbie Williams / Justin Timberlake / Taylor Swift / One Direction / Ben Howard / Mumford & Sons / Emeli Sandé,The 02 Arena,"London, UK",Totnes,-3.685109,50.434792
-121.290226,38.751460,Kaylin and Myles,Ed Sheeran,11/05/2014,Ed Sheeran / Austin Mahone / Hot Chelle Rae / The Chainsmokers / Kaylin and Myles,Placer County Fairgrounds,"Roseville, CA",Framlingham,1.34234,52.222283
-118.250767,34.052391,,Ed Sheeran,16/06/2014,Demi Lovato / Colbie Caillat / Ed Sheeran / Andy Grammer,Hollywood Bowl,"Los Angeles, CA",Framlingham,1.34234,52.222283
-0.125079,51.505809,,Ben Howard,23/06/2012,Radio 1's Hackney Weekend 2012,Hackney Marshes,"London, UK",Totnes,-3.685109,50.434792
-118.326822,34.093172,Rousseau,Ed Sheeran,08/05/2012,Ed Sheeran / Snow Patrol / Rousseau,Hollywood Palladium,"Hollywood, CA",Framlingham,1.34234,52.222283
-78.641050,35.779027,James Blunt,Ed Sheeran,02/09/2017,Ed Sheeran / James Blunt,PNC Arena,"Raleigh, NC",Framlingham,1.34234,52.222283
11.574047,48.134539,,Ed Sheeran,17/11/2014,Ed Sheeran,Olympiahalle,"Munich, DE",Framlingham,1.34234,52.222283
-0.125079,51.505809,,Ed Sheeran,16/06/2018,Ed Sheeran,Wembley Stadium,"London, UK",Framlingham,1.34234,52.222283
-118.250767,34.052391,,Ed Sheeran,28/08/2014,Ed Sheeran at Jimmy Kimmel Live!,Jimmy Kimmel Live!,"Los Angeles, CA",Framlingham,1.34234,52.222283
-82.451586,27.954319,,Ed Sheeran,29/08/2017,÷ Tour,Amalie Arena,"Tampa, FL",Framlingham,1.34234,52.222283
-3.177625,51.481448,Jamie Lawson,Ed Sheeran,22/06/2018,Ed Sheeran / Jamie Lawson / Anne Marie,Principality Stadium,"Cardiff,",Framlingham,1.34234,52.222283
-2.349535,50.757897,,Ed Sheeran,29/07/2011,Camp Bestival,Lulworth Castle,"Dorset, UK",Framlingham,1.34234,52.222283
-3.466856,52.323464,,Ben Howard,15/08/2013,Green Man Festival 2013,Unknown venue,"Powys,",Totnes,-3.685109,50.434792
-122.419722,37.776648,,Ben Howard,08/08/2014,Outside Lands Music & Arts Festival 2014,Golden Gate Park,"San Francisco, CA",Totnes,-3.685109,50.434792
151.197465,-33.875250,,Ed Sheeran,15/03/2018,Ed Sheeran,ANZ Stadium,"Sydney, NSW",Framlingham,1.34234,52.222283
-0.125079,51.505809,,Ed Sheeran,10/12/2017,Jingle Bell Ball 2017,The O2 Arena,"London, UK",Framlingham,1.34234,52.222283
-119.855466,47.078960,,Ben Howard,28/05/2012,Sasquatch! Music Festival 2012,Gorge Amphitheatre,"George, WA",Totnes,-3.685109,50.434792
-71.243295,42.064948,,Ed Sheeran,27/07/2013,The Red Tour,Gillette Stadium,"Foxborough, MA",Framlingham,1.34234,52.222283
-95.944011,41.254800,,Ed Sheeran,12/09/2017,Ed Sheeran / James Blunt,CenturyLink Center & Arena,"Omaha, NE",Framlingham,1.34234,52.222283
-117.168317,32.715551,James Blunt,Ed Sheeran,06/08/2017,Ed Sheeran / James Blunt,Valley View Casino Center,"San Diego, CA",Framlingham,1.34234,52.222283
-115.154230,36.166453,,Ed Sheeran,15/05/2015,Rock In Rio USA,City of Rock MGM Resorts Festival Grounds,"Las Vegas, NV",Framlingham,1.34234,52.222283
