ConcertID,Artist,Concert Date,Concert,Venue,Location
1822,Ben Howard,11/17/2012,Ben Howard,Music Hall,"Aberdeen,"
1905,Ben Howard,10/24/2011,Noah & The Whale / Ben Howard,Music Hall,"Aberdeen,"
1613,Ed Sheeran,3/7/2018,Divide' World Tour,Adelaide Oval,"Adelaide, SA, Australia"
2099,Ed Sheeran,6/6/2017,Divide Tour,Parque Viva,"Alajuela, Costa Rica"
311,Ed Sheeran,5/13/2015,Ed Sheeran / Foy Vance / Ben Kweller,Times Union Center,"Albany, NY"
312,Ed Sheeran,5/13/2015,Multiply Tour,Times Union Center,"Albany, NY"
313,Ed Sheeran,5/13/2015,Ed Sheeran,Times Union Center,"Albany, NY"
1536,Ben Howard,7/10/2014,NOS Alive 2014,Passeio Mar°timo de AlgÇs,"AlgÇs,"
1538,Ben Howard,7/10/2014,NOS Alive 2014,Passeio Mar°timo de AlgÇs,"AlgÇs,"
1539,Ben Howard,7/10/2014,NOS Alive 2014,Passeio Mar°timo de AlgÇs,"AlgÇs,"
1541,Ben Howard,7/10/2014,NOS Alive 2014,Passeio Mar°timo de AlgÇs,"AlgÇs,"
1537,Ben Howard,7/10/2014,NOS Alive,"Passeio Mar°timo de AlgÇs, Oeiras, Portugal","AlgÇs, Portugal"
359,Ed Sheeran,11/3/2014,Ed Sheeran / Jamie Lawson,Ziggo Dome,"Amsterdam,"
360,Ed Sheeran,11/3/2014,Ed Sheeran / Jamie Lawson / Saint Raymond,Ziggo Dome,"Amsterdam,"
365,Ed Sheeran,11/3/2014,Ed Sheeran / Jamie Lawson,Ziggo Dome,"Amsterdam,"
367,Ed Sheeran,11/3/2014,Ed Sheeran / Jamie Lawson / Saint Rayman,Ziggo Dome,"Amsterdam,"
1014,Ed Sheeran,6/29/2018,Ed Sheeran / Anne-Marie,Amsterdam ArenA,"Amsterdam,"
1288,Ed Sheeran,3/12/2012,Ed Sheeran / Passenger,Melkweg Max,"Amsterdam,"
