Ingredient Position,Ingredients Split,Cocktail Price,Cocktails,Avg Ingredient Price
1,Beefeater London Dry Gin,8.7,SPECIAL - COLD PRESSED NEGRONI,9
1,Prosecco,7,PEACH BELLINI,7.8
1,Havana Club Anejo Especial Rum,7.9,DARK DAQUIRI,8.25
1,Beefeater Strawberry London Gin,8.6,BRICK SPRITZ,8.6
1,Olmeca Resposado Tequila,8.6,BLOODY TOMMY,8.6
1,Havana Club Anejo Especial Rum,8.6,PEACHY BLINDER,8.25
1,Bulleit Bourbon,8.8,MR VALENTINE SOUR,8.8
1,Absolut Vodka,8.8,ESPRESSO MARTINI,8.8
1,Chivas Regal 12 Yr Old Scotch,8.8,BROCKLEY STING,8.8
1,House Infused Chilli Absolut Vodka,8.8,PASSION FRUIT & CHILLI MARTINI,8.8
1,Wild Turkey 101 Bourbon,9,MAPLE OLD FASHIONED,9
1,Louis Boyier Brut Champagne,9.5,FRENCH 75,9.5
1,Blood Orange,4,BLOOD ORANGE & MINT SLING MOCKTAIL,6.3
2,Cold Pressed Caravan Coffee Campari,8.7,SPECIAL - COLD PRESSED NEGRONI,8.7
2,White Peach,7,PEACH BELLINI,7
2,Angostura Bitters,7.9,DARK DAQUIRI,8.45
2,Limoncello,8.6,BRICK SPRITZ,8.6
2,Blood Orange,8.6,BLOODY TOMMY,6.3
2,Wray and Nephew Over-Proof Rum,8.6,PEACHY BLINDER,8.6
2,Disaronno,8.8,MR VALENTINE SOUR,8.8
2,Kahlua,8.8,ESPRESSO MARTINI,8.8
2,Beefeater London Dry Gin,8.8,BROCKLEY STING,9
2,Passionfruit,8.8,PASSION FRUIT & CHILLI MARTINI,8.8
2,Maple Syrup,9,MAPLE OLD FASHIONED,9
2,Beefeater London Dry Gin,9.5,FRENCH 75,9
2,Lemon,4,BLOOD ORANGE & MINT SLING MOCKTAIL,6.75
3,Punt E Mes Vermouth,8.7,SPECIAL - COLD PRESSED NEGRONI,8.7
3,Peach Bitters,7,PEACH BELLINI,7
3,Lime,7.9,DARK DAQUIRI,8.55
3,Prosecco,8.6,BRICK SPRITZ,7.8
3,Blue Agave Nectar,8.6,BLOODY TOMMY,8.6
3,Peach,8.6,PEACHY BLINDER,8.6
3,Taylor's LBV Port,8.8,MR VALENTINE SOUR,8.8
3,Caravan Coffee Market Blend Espresso,8.8,ESPRESSO MARTINI,8.8
3,Honey,8.8,BROCKLEY STING,8.8
3,Peach Syrup,8.8,PASSION FRUIT & CHILLI MARTINI,8.8
3,Angostura Bitters,9,MAPLE OLD FASHIONED,8.45
3,Lemon,9.5,FRENCH 75,6.75
3,Mint,4,BLOOD ORANGE & MINT SLING MOCKTAIL,7.066666667
4,Sugar,7.9,DARK DAQUIRI,7.9
4,Elderflower,8.6,BRICK SPRITZ,8.6
4,Lime,8.6,BLOODY TOMMY,8.55
4,Mint,8.6,PEACHY BLINDER,7.066666667
4,Lime,8.8,MR VALENTINE SOUR,8.55
4,Lime,8.8,BROCKLEY STING,8.55
4,Orange Twist,9,MAPLE OLD FASHIONED,9
4,Soda,4,BLOOD ORANGE & MINT SLING MOCKTAIL,4
5,Mint,8.6,BRICK SPRITZ,7.066666667
5,Lime,8.6,PEACHY BLINDER,8.55
5,Egg White,8.8,MR VALENTINE SOUR,8.8
5,House Ginger Syrup,8.8,BROCKLEY STING,8.8
6,Lime,8.6,BRICK SPRITZ,8.55
6,Orange Bitters,8.8,MR VALENTINE SOUR,8.8
