Pre / Post Valentines Day,Store,Date,Running Total Sales,Daily Store Sales
Pre,Leeds,12/02/2019,4105,696
Post,Leeds,18/02/2019,846,294
Pre,York,11/02/2019,2609,484
Pre,York,10/02/2019,2125,742
Pre,Leeds,05/02/2019,1023,234
Post,Leeds,16/02/2019,458,129
Post,York,19/02/2019,283,63
Pre,York,01/02/2019,33,33
Pre,York,07/02/2019,427,134
Post,Leeds,15/02/2019,329,329
Pre,York,03/02/2019,177,121
Pre,Leeds,03/02/2019,441,137
Pre,Leeds,07/02/2019,1982,585
Pre,Leeds,09/02/2019,2714,348
Pre,Leeds,13/02/2019,4791,686
Pre,Leeds,14/02/2019,5074,283
Post,York,16/02/2019,97,84
Post,York,24/02/2019,498,23
Pre,York,09/02/2019,1383,585
Pre,York,06/02/2019,293,38
Post,Leeds,27/02/2019,2306,163
Pre,York,08/02/2019,798,371
Post,York,18/02/2019,220,94
Pre,York,13/02/2019,4028,834
Pre,Leeds,02/02/2019,304,174
Post,Leeds,28/02/2019,2435,129
Post,Leeds,26/02/2019,2143,194
Pre,York,05/02/2019,255,49
Post,Leeds,23/02/2019,1791,293
Post,Leeds,25/02/2019,1949,129
Pre,Leeds,06/02/2019,1397,374
Post,York,20/02/2019,306,23
Post,York,17/02/2019,126,29
Pre,Leeds,11/02/2019,3409,457
Post,York,25/02/2019,626,128
Pre,York,04/02/2019,206,29
Post,York,26/02/2019,868,242
Post,Leeds,22/02/2019,1498,92
Pre,York,02/02/2019,56,23
Pre,Leeds,04/02/2019,789,348
Pre,Leeds,01/02/2019,130,130
Post,Leeds,24/02/2019,1820,29
Post,York,22/02/2019,391,28
Post,York,28/02/2019,1033,73
Post,Leeds,20/02/2019,1277,193
Post,Leeds,17/02/2019,552,94
Post,York,23/02/2019,475,84
Pre,York,12/02/2019,3194,585
Pre,Leeds,10/02/2019,2952,238
Post,York,27/02/2019,960,92
Post,Leeds,21/02/2019,1406,129
Pre,Leeds,08/02/2019,2366,384
Post,York,21/02/2019,363,57
Post,Leeds,19/02/2019,1084,238
Post,York,15/02/2019,13,13
Pre,York,14/02/2019,4960,932
