Employee,Observation Start Time,Observation Interval,Observation Length (mins),Interaction With,,,,Task Engagement,,Manager Proximity,,,
,,,,Manager,Coworker,Customer,No One,On Task,Off Task,Next to (<2m),Close to (<5m),Further(>5m),NA
A,9:00,1,3,X,,,,,X,,X,,
A,9:00,2,1,X,,,,X,,X,,,
A,9:00,3,1,,,,X,X,,,,X,
A,9:00,4,1,,,X,,,X,,,X,
A,9:00,5,2,,,X,,,X,,,,X
A,9:00,6,3,,X,,,,X,,,X,
A,9:00,7,3,,,,X,,X,,,,X
A,9:00,8,3,,,,X,,X,,X,,
A,9:00,9,2,,,,X,X,,,,,X
A,9:00,10,2,,,X,,,X,,,,X
A,9:00,11,1,,X,,,X,,,X,,
A,9:00,12,2,,,,X,X,,X,,,
A,9:00,13,3,,,,X,,X,,X,,
A,9:00,14,1,,,,X,X,,,X,,
A,9:00,15,2,,,X,,,X,,,,X
A,9:00,16,1,,,X,,X,,,,,X
A,9:00,17,1,X,,,,,X,,X,,
A,9:00,18,2,X,,,,,X,,X,,
A,9:00,19,3,,X,,,,X,,X,,
A,9:00,20,1,,,,X,,X,,,,X
A,9:00,21,2,,,,X,,X,,X,,
A,9:00,22,1,,X,,,,X,X,,,
A,9:00,23,3,X,,,,X,,,,X,
A,9:00,24,1,,,,X,X,,,,X,
A,9:00,25,1,,,,X,X,,,,,X
A,9:00,26,1,,,,X,,X,,,,X
A,9:00,27,1,,,X,,X,,,,X,
A,9:00,28,3,X,,,,X,,X,,,
A,9:00,29,2,,X,,,,X,,X,,
A,9:00,30,3,,,X,,X,,,,X,
B,10:15,1,1,,,,X,,X,X,,,
B,10:15,2,3,X,,,,X,,,X,,
B,10:15,3,3,,X,,,X,,,X,,
B,10:15,4,3,,,,X,X,,,,X,
B,10:15,5,2,,,,X,X,,,,X,
B,10:15,6,2,X,,,,X,,X,,,
B,10:15,7,1,,,,X,X,,,,X,
B,10:15,8,2,X,,,,X,,X,,,
B,10:15,9,1,X,,,,X,,X,,,
B,10:15,10,2,,,X,,X,,,,X,
B,10:15,11,3,,,X,,,X,,X,,
B,10:15,12,2,,,,X,,X,,,,X
B,10:15,13,1,,,,X,,X,,,X,
B,10:15,14,3,X,,,,,X,X,,,
B,10:15,15,3,,,,X,,X,,,,X
B,10:15,16,1,X,,,,X,,,,X,
B,10:15,17,1,X,,,,,X,X,,,
B,10:15,18,1,,,,X,X,,,,,X
B,10:15,19,2,X,,,,X,,X,,,
B,10:15,20,3,,,,X,X,,,,,X
B,10:15,21,1,,X,,,X,,,,,X
B,10:15,22,3,X,,,,,X,X,,,
B,10:15,23,1,X,,,,,X,X,,,
B,10:15,24,1,,X,,,X,,,,X,
B,10:15,25,2,X,,,,,X,X,,,
B,10:15,26,1,X,,,,X,,,X,,
B,10:15,27,2,,,X,,,X,,,,X
B,10:15,28,2,,,,X,X,,,,X,
B,10:15,29,3,,,,X,,X,,,,X
B,10:15,30,3,,,,X,,X,,,X,
C,13:00,1,1,,X,,,X,,,,,X
C,13:00,2,2,,,,X,,X,X,,,
C,13:00,3,3,X,,,,X,,,,X,
C,13:00,4,3,,,X,,,X,,,X,
C,13:00,5,3,,,X,,X,,,X,,
C,13:00,6,3,,X,,,X,,,X,,
C,13:00,7,2,,,,X,X,,X,,,
C,13:00,8,3,,,X,,X,,,,X,
C,13:00,9,3,X,,,,,X,,,X,
C,13:00,10,3,,,,X,,X,,,,X
C,13:00,11,2,,,X,,X,,,X,,
C,13:00,12,1,,,,X,,X,X,,,
C,13:00,13,1,,,,X,,X,,,X,
C,13:00,14,2,,,,X,X,,,,X,
C,13:00,15,1,X,,,,,X,X,,,
C,13:00,16,2,,,,X,X,,,,X,
C,13:00,17,3,,X,,,X,,X,,,
C,13:00,18,3,,,,X,X,,X,,,
C,13:00,19,3,X,,,,X,,,,X,
C,13:00,20,2,,,,X,,X,,X,,
C,13:00,21,2,,X,,,X,,,,X,
C,13:00,22,3,,,,X,X,,,,X,
C,13:00,23,2,,,,X,X,,,,X,
C,13:00,24,2,,,,X,,X,,X,,
C,13:00,25,2,,X,,,,X,,X,,
C,13:00,26,3,,,,X,X,,X,,,
C,13:00,27,1,X,,,,X,,X,,,
C,13:00,28,1,,X,,,X,,,,X,
C,13:00,29,2,,,,X,X,,,,,X
C,13:00,30,1,,X,,,,X,X,,,
