Comment Split,Category,TempF,TempC,Comment,Tweet Id,Created At
oh,Water,58,14.4,"Oh dear me, will it ever get warm again? Dierdre on very cold warden duty",212524286487969793,12/06/2012 12:38:33
gordon,Water,57,13.9,Gordon sang a song to celebrate seeing the sun; smiles all round; more weed,212826983116189697,13/06/2012 08:41:21
2,Water,58,14.4,2 consecutive days of sunshine! Rosie brought some tea. Richard wore shorts,213214181506285568,14/06/2012 10:19:56
donuts,Water,59,15,Donuts from Neil; apple tart from Frances; I overtook Stuart; a dog barked,213547829157826560,15/06/2012 08:25:44
800,Water,59,15,800 yd race won by Anthony with his new knee; photo prizes by Nick/Sakura,213917609211592704,16/06/2012 08:55:07
nice,Water,59,15,Nice to see Ted and Zoe as well as most of the Sunday regulars,214285149712564225,17/06/2012 09:15:35
nice,Water,59,15,Nice and quiet. However soggy Chocolate Hobnobs not very appetising,214635187097710592,18/06/2012 08:26:30
serpentine,Water,62,16.7,Serpentine Swimmers. What a wonderful group of people you all are.,215377773697572864,20/06/2012 09:37:17
jenny,Water,61,16.1,Jenny off to run Lizard to Lands End; good luck. Others to the Serps for 1 mile,216095567317704704,22/06/2012 09:09:32
1,Water,61,16.1,"1 mile race, prizes to Norm, Matthew, Neil, Stuart. I wasn\'t last",216456920410759168,23/06/2012 09:05:26
thanks,Water,62,16.7,Thanks to brother Jeremy for acting as stand-in. Usual excellent Sunday turn-out,216851979467628544,24/06/2012 11:15:15
resurfacing,Water,61,16.1,Resurfacing for Triathlon paid by tax payer/Royal Parks  why not by  Locog?,217544228862046209,26/06/2012 09:06:00
nice,Water,64,17.8,Nice to see Tulio back; Ron made tea; Frances and Alex had a chinwag about  men,217901573546844160,27/06/2012 08:45:58
guesstimates,Water,68,20,Guesstimates: I am competing in the Round the Island (of Wight)  Yacht Race,218603172510433280,29/06/2012 07:13:52
nick,Water,64,17.8,Nick and Kristy wardening; George and Ted swimming; Cats back; no milk or sugar,219709571810332673,02/07/2012 08:30:18
