DATE,OPPONENT,RESULT,W_L,HI_POINTS,HI_REBOUNDS,HI_ASSISTS
"Fri, Oct 18",vsMinnesota,W112-108,1-0,DeRozan 28,Aldridge 19,Gasol 6
"Mon, Oct 21",@Portland,L121-108,1-1,DeRozan 28,Aldridge 8,DeRozan 9
"Wed, Oct 23",@Los Angeles,W143-142 OT,2-1,Aldridge 37,Cunningham 12,DeRozan 14
"Fri, Oct 25",vsIndiana,L116-96,2-2,DeRozan 18,Aldridge 13,DeRozan 4
"Mon, Oct 28",vsLos Angeles,W110-106,3-2,DeRozan 30,DeRozan 12,DeRozan 8
"Wed, Oct 30",vsDallas,W113-108 OT,4-2,DeRozan 34,Gay 11,DeRozan 9
"Fri, Nov 1",@Phoenix,W120-90,5-2,DeRozan 25,Gasol 9,Forbes 7
"Mon, Nov 4",vsNew Orleans,W109-95,6-2,DeRozan 26,Aldridge 12,Mills 7
"Tue, Nov 5",vsOrlando,L117-110,6-3,DeRozan 25,Gasol 8,DeRozan 5
"Fri, Nov 8",@Miami,L95-88,6-4,Mills 20,Aldridge 16,DeRozan 8
"Mon, Nov 11",vsHouston,W96-89,7-4,Aldridge 27,DeRozan 11,White 8
"Wed, Nov 13",@Sacramento,L104-99,7-5,DeRozan 23,Aldridge 18,DeRozan 8
"Fri, Nov 15",@Phoenix,L116-96,7-6,DeRozan 24,Aldridge 12,DeRozan 4
"Sat, Nov 16",@LA,L116-111,7-7,DeRozan 34,Aldridge 16,DeRozan 5
"Tue, Nov 19",vsGolden State,W104-92,8-7,Aldridge 24,Aldridge 18,DeRozan 9
"Wed, Nov 20",@New Orleans,L140-126,8-8,DeRozan 21,Aldridge 10,DeRozan 5
"Fri, Nov 22",vsMemphis,L104-103,8-9,DeRozan 24,Aldridge 11,DeRozan 5
"Sun, Nov 24",@Indiana,W111-100,9-9,Aldridge 33,Aldridge 14,Gay 7
"Mon, Nov 25",@Milwaukee,L135-129,9-10,DeRozan 34,Cunningham 10,DeRozan 7
"Wed, Nov 27",@Chicago,W108-107,10-10,DeRozan 21,DeRozan 8,Forbes 6
"Fri, Nov 29",@Minnesota,L128-89,10-11,Poeltl 14,Aldridge 9,White 4
"Sun, Dec 1",vsHouston,L136-105,10-12,Aldridge 20,Gay 8,White 9
