Location,Potential_Store_Location,Store_Potential_Sales,Store_Cost
"New Yorke, United States",10002,1587019 USD,1164081 USD
"New York, United States",10003,1903942 USD,917761 USD
"New York, United States",10001,1480847 USD,1472772 USD
"New York, United States",10013,2600607 USD,1000360 USD
"New York, United Staties",10028,1017140 USD,1403925 USD
"San Francisco, United States",94016,1841351 USD,1546690 USD
"San Francisco, United States",94119,1478530 USD,933222 USD
"San Francisco, United States",94130,1261751 USD,1416811 USD
"San Francisco, United States",94016,1866261 USD,1227024 USD
"San Francesca, United States",94130,1317521 USD,1477246 USD
"Miami, United States",33137,1938794 USD,1644087 USD
"Miami, United States",33129,1704687 USD,845221 USD
"Miami, Onited States",33222,2186796 USD,1258943 USD
"Mia, United States",33222,1549489 USD,1557604 USD
"Miami, United Stites",33222,1237577 USD,835203 USD
"Miami, United States",33146,1726117 USD,1322850 USD
"Monterrey, Mexico",64010,25705177 MXN,10564852 MXN
"Monterrey, Mexico",64050,29136401 MXN,17047647 MXN
"Monty, Mexico",64119,26173895 MXN,19183246 MXN
"Monterrey, Mexico",64119,21931375 MXN,22097632 MXN
