City,Country,Zip Code,Store Cost,Store Potential Sales,Currency,Value in USD
San Francisco,United States,94119,933222,1478530,USD,1
Monterrey,Mexico,64010,10564852,25705177,MXN,19.52
New York,United States,10003,917761,1903942,USD,1
New York,United States,10001,1472772,1480847,USD,1
Miami,United States,33146,1322850,1726117,USD,1
San Francisco,United States,94016,1227024,1866261,USD,1
Miami,United States,33137,1644087,1938794,USD,1
Monterrey,Mexico,64050,17047647,29136401,MXN,19.52
New York,United States,10013,1000360,2600607,USD,1
Miami,United States,33129,845221,1704687,USD,1
