Ship_ID,Departure_Date,Max_Weight,Max_Volume
Tug-05,3/27/2019,500,50
Freighter-04,3/31/2019,5000,500
Freighter-03,4/1/2019,5000,500
Freighter-01,4/6/2019,5000,500
Tanker-02,4/7/2019,1000,200
Tanker-04,4/10/2019,1000,200
Freighter-02,4/10/2019,5000,500
Tug-05,4/10/2019,500,50
Freighter-03,4/10/2019,5000,500
Freighter-04,4/12/2019,5000,500
Tug-03,4/14/2019,500,50
Tug-03,4/15/2019,500,50
Tug-03,4/17/2019,500,50
Freighter-02,4/19/2019,5000,500
Tanker-04,4/21/2019,1000,200
Tug-01,4/23/2019,500,50
Tug-02,4/25/2019,500,50
Freighter-04,4/27/2019,5000,500
Tanker-04,4/27/2019,1000,200
Tug-01,4/29/2019,500,50
Tanker-03,4/30/2019,1000,200
Tug-01,4/30/2019,500,50
Tanker-05,5/2/2019,1000,200
Tanker-05,5/3/2019,1000,200
Tug-04,5/3/2019,500,50
Tanker-05,5/4/2019,1000,200
Tug-03,5/4/2019,500,50
Tug-02,5/11/2019,500,50
Tanker-01,5/11/2019,1000,200
Tanker-01,5/12/2019,1000,200
Tanker-05,5/20/2019,1000,200
Tug-05,5/22/2019,500,50
Freighter-05,5/23/2019,5000,500
Freighter-02,5/26/2019,5000,500
Tug-05,5/26/2019,500,50
Freighter-04,5/26/2019,5000,500
Freighter-05,5/26/2019,5000,500
Tanker-05,5/27/2019,1000,200
Freighter-02,6/3/2019,5000,500
Tug-01,6/4/2019,500,50
Tanker-01,6/4/2019,1000,200
Freighter-05,6/6/2019,5000,500
Tug-01,6/7/2019,500,50
Tanker-05,6/8/2019,1000,200
Freighter-05,6/10/2019,5000,500
Tug-04,6/11/2019,500,50
Freighter-02,6/11/2019,5000,500
Tanker-02,6/11/2019,1000,200
Tug-04,6/12/2019,500,50
Tug-01,6/13/2019,500,50
Tanker-05,6/17/2019,1000,200
Tug-04,6/18/2019,500,50
Freighter-01,6/18/2019,5000,500
Freighter-05,6/19/2019,5000,500
Freighter-04,6/19/2019,5000,500
Tug-04,6/21/2019,500,50
Freighter-05,6/26/2019,5000,500
Tanker-04,6/27/2019,1000,200
