Total Ticket Price,Ticket Price Variance to Meal Deal Earnings,Total Meal Deal Earnings,Total Excess,TicketID,MemberID
20.5,-1.33,5,16.83,330799,0
44.5,-3.8,20,28.3,121740,995594
13,-2,5,10,300736,993616
29.5,-4,15,18.5,220814,0
31.5,6.17,20,5.33,301926,0
6,1,5,0,309379,0
30.5,-15.1,5,40.6,110438,0
13,0,5,8,207406,0
30.5,2.37,20,8.13,113000,0
19.5,1.5,10,8,303991,0
12,-1,5,8,230616,0
22,3.83,10,8.17,307943,992894
35.5,-10.5,10,36,308926,994271
16,0.87,5,10.13,102794,0
17.5,1.29,5,11.21,109540,0
15,0.58,5,9.42,206804,0
6,1,5,0,226924,0
32.5,3.5,20,9,323760,0
10,1,5,4,329623,993930
14.5,-2,5,11.5,115277,0
22.5,-3.75,15,11.25,100006,996536
13.5,1.17,10,2.33,225425,0
24,-1.75,10,15.75,129059,0
7,2,5,0,304522,0
10.5,0.5,5,5,305264,0
9.5,0,5,4.5,211106,0
18.5,0,10,8.5,100228,0
14.5,-0.75,5,10.25,100311,999216
13,-2,5,10,125136,0
9.5,0.83,5,3.67,107617,0
7.5,0.75,5,1.75,120877,996631
26,1,15,10,323001,0
18.5,-1.5,5,15,114581,0
12,-1.25,5,8.25,213496,0
13,0.5,10,2.5,222879,0
19,1.5,15,2.5,308390,999107
14.5,-0.5,5,10,117557,0
21.5,-3.5,5,20,310439,997251
19.5,0.67,10,8.83,318606,996732
15,-1,5,11,200009,0
12,-3.5,5,10.5,113036,995283
14,1,5,8,110608,0
27.5,-13.5,5,36,329047,0
16,1.5,10,4.5,109724,997918
12.5,-0.5,10,3,209370,0
17.5,1.33,10,6.17,219126,0
17,-1.5,5,13.5,122171,0
11,2.5,5,3.5,104690,0
23.5,-8.25,10,21.75,118216,0
12,0,5,7,330093,994250
13,0.83,5,7.17,330590,0
10.5,1.25,5,4.25,310128,0
12,2,5,5,315344,0
24.5,-1.67,5,21.17,102256,0
23.5,-8.5,10,22,215308,0
14,-1,5,10,103033,0
17.5,3,10,4.5,100749,0
14,1.5,5,7.5,203830,0
30.5,-1,20,11.5,115649,0
30.5,-6.4,5,31.9,114201,0
33.5,-12,5,40.5,211246,0
