Rank,Rider,Rider_No,Team,Times,Gap
1,GERAINT THOMAS,8,TEAM SKY,83h 17' 13'',-
2,TOM DUMOULIN,32,TEAM SUNWEB,83h 19' 04'',+ 00h 01' 51''
3,CHRIS FROOME,1,TEAM SKY,83h 19' 37'',+ 00h 02' 24''
4,PRIMO? ROGLIC,166,TEAM LOTTO NL - JUMBO,83h 20' 35'',+ 00h 03' 22''
5,STEVEN KRUIJSWIJK,161,TEAM LOTTO NL - JUMBO,83h 23' 21'',+ 00h 06' 08''
6,ROMAIN BARDET,21,AG2R LA MONDIALE,83h 24' 10'',+ 00h 06' 57''
7,MIKEL LANDA MEANA,75,MOVISTAR TEAM,83h 24' 50'',+ 00h 07' 37''
8,DANIEL MARTIN,91,UAE TEAM EMIRATES,83h 26' 18'',+ 00h 09' 05''
9,ILNUR ZAKARIN,141,TEAM KATUSHA ALPECIN,83h 29' 50'',+ 00h 12' 37''
10,NAIRO QUINTANA,71,MOVISTAR TEAM,83h 31' 31'',+ 00h 14' 18''
11,BOB JUNGELS,105,QUICK - STEP FLOORS,83h 33' 45'',+ 00h 16' 32''
12,JAKOB FUGLSANG,121,ASTANA PRO TEAM,83h 36' 59'',+ 00h 19' 46''
13,PIERRE ROGER LATOUR,26,AG2R LA MONDIALE,83h 39' 26'',+ 00h 22' 13''
14,ALEJANDRO VALVERDE,78,MOVISTAR TEAM,83h 44' 39'',+ 00h 27' 26''
15,EGAN ARLEY BERNAL GOMEZ,2,TEAM SKY,83h 45' 05'',+ 00h 27' 52''
16,TANEL KANGERT,125,ASTANA PRO TEAM,83h 52' 05'',+ 00h 34' 52''
17,WARREN BARGUIL,41,TEAM FORTUNEO - SAMSIC,83h 54' 19'',+ 00h 37' 06''
18,DOMENICO POZZOVIVO,58,BAHRAIN - MERIDA,83h 56' 21'',+ 00h 39' 08''
19,RAFAL MAJKA,114,BORA - HANSGROHE,83h 57' 10'',+ 00h 39' 57''
20,DAMIANO CARUSO,83,BMC RACING TEAM,83h 59' 44'',+ 00h 42' 31''
21,GUILLAUME MARTIN,211,WANTY - GROUPE GOBERT,84h 01' 31'',+ 00h 44' 18''
22,JON IZAGUIRRE INSAUSTI,55,BAHRAIN - MERIDA,84h 03' 49'',+ 00h 46' 36''
23,MIKEL NIEVE ITURRALDE,68,MITCHELTON - SCOTT,84h 06' 32'',+ 00h 49' 19''
24,GORKA IZAGUIRRE INSAUSTI,54,BAHRAIN - MERIDA,84h 07' 15'',+ 00h 50' 02''
25,SIMON GESCHKE,34,TEAM SUNWEB,84h 07' 28'',+ 00h 50' 15''
26,BAUKE MOLLEMA,191,TREK - SEGAFREDO,84h 23' 46'',+ 01h 06' 33''
27,PIERRE ROLLAND,16,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,84h 26' 22'',+ 01h 09' 09''
28,GREG VAN AVERMAET,87,BMC RACING TEAM,84h 27' 27'',+ 01h 10' 14''
29,ADAM YATES,61,MITCHELTON - SCOTT,84h 34' 48'',+ 01h 17' 35''
30,LILIAN CALMEJANE,181,DIRECT ENERGIE,84h 35' 22'',+ 01h 18' 09''
31,ROBERT GESINK,162,TEAM LOTTO NL - JUMBO,84h 38' 26'',+ 01h 21' 13''
32,TEJAY VAN GARDEREN,88,BMC RACING TEAM,84h 40' 18'',+ 01h 23' 05''
33,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,84h 45' 21'',+ 01h 28' 08''
34,DAVID GAUDU,152,GROUPAMA - FDJ,84h 47' 14'',+ 01h 30' 01''
35,JULIEN BERNARD,192,TREK - SEGAFREDO,84h 51' 25'',+ 01h 34' 12''
36,DANIEL FELIPE MARTINEZ POVEDA,14,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,84h 55' 51'',+ 01h 38' 38''
37,ANTWAN TOLHOEK,168,TEAM LOTTO NL - JUMBO,84h 56' 14'',+ 01h 39' 01''
38,RUDY MOLARD,156,GROUPAMA - FDJ,85h 04' 49'',+ 01h 47' 36''
39,SYLVAIN CHAVANEL,183,DIRECT ENERGIE,85h 05' 00'',+ 01h 47' 47''
40,KRISTIJAN ?URASEK,93,UAE TEAM EMIRATES,85h 05' 19'',+ 01h 48' 06''
41,ARTHUR VICHOT,158,GROUPAMA - FDJ,85h 08' 32'',+ 01h 51' 19''
42,MAXIME BOUET,42,TEAM FORTUNEO - SAMSIC,85h 15' 21'',+ 01h 58' 08''
43,NICOLAS EDET,203,"COFIDIS, SOLUTIONS CREDITS",85h 16' 07'',+ 01h 58' 54''
44,MICHAEL VALGREN,128,ASTANA PRO TEAM,85h 16' 33'',+ 01h 59' 20''
45,DANIEL NAVARRO GARCIA,205,"COFIDIS, SOLUTIONS CREDITS",85h 17' 45'',+ 02h 00' 32''
46,DARYL IMPEY,67,MITCHELTON - SCOTT,85h 18' 06'',+ 02h 00' 53''
47,JESUS HERRADA,204,"COFIDIS, SOLUTIONS CREDITS",85h 19' 05'',+ 02h 01' 52''
48,AMAEL MOINARD,46,TEAM FORTUNEO - SAMSIC,85h 20' 33'',+ 02h 03' 20''
49,MICHAL KWIATKOWSKI,4,TEAM SKY,85h 22' 42'',+ 02h 05' 29''
50,ANDREY AMADOR,72,MOVISTAR TEAM,85h 22' 51'',+ 02h 05' 38''
51,LAURENS TEN DAM,37,TEAM SUNWEB,85h 23' 35'',+ 02h 06' 22''
52,S?REN KRAGH ANDERSEN,36,TEAM SUNWEB,85h 23' 36'',+ 02h 06' 23''
53,STEFAN KšNG,85,BMC RACING TEAM,85h 24' 27'',+ 02h 07' 14''
54,THOMAS DEGAND,212,WANTY - GROUPE GOBERT,85h 27' 07'',+ 02h 09' 54''
55,MATHIAS FRANK,24,AG2R LA MONDIALE,85h 27' 42'',+ 02h 10' 29''
56,JESPER HANSEN,124,ASTANA PRO TEAM,85h 27' 46'',+ 02h 10' 33''
57,OMAR FRAILE MATARRANZ,122,ASTANA PRO TEAM,85h 28' 12'',+ 02h 10' 59''
58,WOUT POELS,6,TEAM SKY,85h 30' 36'',+ 02h 13' 23''
59,TOM-JELTE SLAGTER,136,TEAM DIMENSION DATA,85h 31' 11'',+ 02h 13' 58''
60,FRANCO PELLIZOTTI,57,BAHRAIN - MERIDA,85h 34' 45'',+ 02h 17' 32''
61,PAVEL KOCHETKOV,145,TEAM KATUSHA ALPECIN,85h 35' 05'',+ 02h 17' 52''
62,MARC SOLER,77,MOVISTAR TEAM,85h 36' 04'',+ 02h 18' 51''
63,JASPER STUYVEN,198,TREK - SEGAFREDO,85h 37' 37'',+ 02h 20' 24''
64,MARCO MINNAARD,214,WANTY - GROUPE GOBERT,85h 37' 44'',+ 02h 20' 31''
65,THOMAS DE GENDT,174,LOTTO SOUDAL,85h 41' 54'',+ 02h 24' 41''
66,OLIVER NAESEN,27,AG2R LA MONDIALE,85h 46' 49'',+ 02h 29' 36''
67,NIKIAS ARNDT,33,TEAM SUNWEB,85h 49' 15'',+ 02h 32' 02''
68,MAGNUS CORT NIELSEN,126,ASTANA PRO TEAM,85h 49' 39'',+ 02h 32' 26''
69,JHON DARWIN ATAPUMA HURTADO,92,UAE TEAM EMIRATES,85h 53' 00'',+ 02h 35' 47''
70,JONATHAN CASTROVIEJO,3,TEAM SKY,85h 53' 19'',+ 02h 36' 06''
71,PETER SAGAN,111,BORA - HANSGROHE,85h 55' 21'',+ 02h 38' 08''
72,CHAD HAGA,35,TEAM SUNWEB,85h 56' 53'',+ 02h 39' 40''
73,ROMAIN SICARD,187,DIRECT ENERGIE,86h 00' 06'',+ 02h 42' 53''
74,TOBIAS LUDVIGSSON,155,GROUPAMA - FDJ,86h 02' 53'',+ 02h 45' 40''
75,JULIEN VERMOTE,138,TEAM DIMENSION DATA,86h 03' 10'',+ 02h 45' 57''
76,GREGOR MšHLBERGER,115,BORA - HANSGROHE,86h 03' 26'',+ 02h 46' 13''
77,IMANOL ERVITI,74,MOVISTAR TEAM,86h 04' 59'',+ 02h 47' 46''
78,KOEN DE KORT,193,TREK - SEGAFREDO,86h 05' 42'',+ 02h 48' 29''
79,IAN BOSWELL,142,TEAM KATUSHA ALPECIN,86h 09' 00'',+ 02h 51' 47''
80,YVES LAMPAERT,106,QUICK - STEP FLOORS,86h 09' 50'',+ 02h 52' 37''
81,PAUL MARTENS,165,TEAM LOTTO NL - JUMBO,86h 09' 59'',+ 02h 52' 46''
82,TOMS SKUJINS,197,TREK - SEGAFREDO,86h 10' 54'',+ 02h 53' 41''
83,SILVAN DILLIER,22,AG2R LA MONDIALE,86h 12' 28'',+ 02h 55' 15''
84,EDVALD BOASSON HAGEN,132,TEAM DIMENSION DATA,86h 14' 13'',+ 02h 57' 00''
85,ANTHONY PEREZ,206,"COFIDIS, SOLUTIONS CREDITS",86h 16' 09'',+ 02h 58' 56''
86,ELIE GESBERT,43,TEAM FORTUNEO - SAMSIC,86h 18' 01'',+ 03h 00' 48''
87,NILS POLITT,147,TEAM KATUSHA ALPECIN,86h 18' 07'',+ 03h 00' 54''
88,EDWARD THEUNS,38,TEAM SUNWEB,86h 19' 28'',+ 03h 02' 15''
89,THOMAS BOUDAT,182,DIRECT ENERGIE,86h 21' 20'',+ 03h 04' 07''
90,MICHAEL SCHŽR,86,BMC RACING TEAM,86h 21' 27'',+ 03h 04' 14''
91,YOANN OFFREDO,215,WANTY - GROUPE GOBERT,86h 21' 40'',+ 03h 04' 27''
92,MARCUS BURGHARDT,113,BORA - HANSGROHE,86h 22' 01'',+ 03h 04' 48''
93,JEROME COUSIN,184,DIRECT ENERGIE,86h 22' 47'',+ 03h 05' 34''
94,PAWEL POLJANSKI,117,BORA - HANSGROHE,86h 24' 27'',+ 03h 07' 14''
95,ANDREA PASQUALON,216,WANTY - GROUPE GOBERT,86h 26' 47'',+ 03h 09' 34''
96,KEVIN LEDANOIS,45,TEAM FORTUNEO - SAMSIC,86h 29' 08'',+ 03h 11' 55''
97,DION SMITH,217,WANTY - GROUPE GOBERT,86h 29' 37'',+ 03h 12' 24''
98,LAURENT PICHON,47,TEAM FORTUNEO - SAMSIC,86h 29' 59'',+ 03h 12' 46''
99,FLORIAN VACHON,48,TEAM FORTUNEO - SAMSIC,86h 31' 00'',+ 03h 13' 47''
100,SIMON CLARKE,12,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,86h 32' 53'',+ 03h 15' 40''
101,JULIEN SIMON,207,"COFIDIS, SOLUTIONS CREDITS",86h 33' 08'',+ 03h 15' 55''
102,KRISTIJAN KOREN,56,BAHRAIN - MERIDA,86h 34' 07'',+ 03h 16' 54''
103,TOMASZ MARCZYNSKI,176,LOTTO SOUDAL,86h 36' 23'',+ 03h 19' 10''
104,DANIELE BENNATI,73,MOVISTAR TEAM,86h 36' 35'',+ 03h 19' 22''
105,ROMAIN HARDY,44,TEAM FORTUNEO - SAMSIC,86h 37' 02'',+ 03h 19' 49''
106,RORY SUTHERLAND,97,UAE TEAM EMIRATES,86h 38' 35'',+ 03h 21' 22''
107,SIMON GERRANS,84,BMC RACING TEAM,86h 38' 50'',+ 03h 21' 37''
108,MATHEW HAYMAN,64,MITCHELTON - SCOTT,86h 39' 08'',+ 03h 21' 55''
109,SONNY COLBRELLI,52,BAHRAIN - MERIDA,86h 39' 08'',+ 03h 21' 55''
110,REINARDT JANSE VAN RENSBURG,133,TEAM DIMENSION DATA,86h 41' 38'',+ 03h 24' 25''
111,JOHN DEGENKOLB,194,TREK - SEGAFREDO,86h 43' 48'',+ 03h 26' 35''
112,DANIEL OSS,116,BORA - HANSGROHE,86h 49' 42'',+ 03h 32' 29''
