Avg Cost per Day,Total Cost per Day,Date in Hospital,Number of Patients
80,80,26/06/2019,1
100,200,08/07/2020,2
100,100,04/08/2019,1
80,160,13/06/2020,2
90,360,08/06/2020,4
91.67,275,22/06/2019,3
100,100,13/07/2019,1
100,100,25/09/2019,1
100,100,19/08/2019,1
75,75,30/06/2019,1
100,200,02/09/2019,2
100,100,27/10/2019,1
100,100,29/07/2020,1
75,75,01/07/2019,1
90,180,25/06/2020,2
100,200,09/10/2019,2
80,80,17/06/2019,1
100,200,12/10/2019,2
100,200,08/10/2019,2
100,100,27/06/2020,1
100,200,07/06/2020,2
80,80,17/07/2019,1
100,100,30/08/2019,1
100,100,02/06/2019,1
100,100,23/10/2019,1
100,300,22/07/2019,3
100,400,09/08/2019,4
90,180,24/06/2019,2
100,100,19/10/2019,1
100,100,19/07/2020,1
78.33,235,29/07/2019,3
92,460,26/07/2019,5
93.33,280,02/08/2020,3
100,200,12/06/2020,2
100,400,10/06/2020,4
100,100,28/08/2019,1
80,80,16/07/2019,1
80,160,05/08/2020,2
90,360,11/06/2020,4
75,150,01/08/2019,2
77.5,155,31/07/2019,2
80,80,14/06/2019,1
100,100,04/06/2019,1
100,100,24/06/2020,1
100,100,11/06/2019,1
100,100,13/06/2019,1
91.67,275,03/07/2019,3
100,100,24/08/2019,1
95,380,08/06/2019,4
80,80,15/06/2019,1
76.67,230,30/07/2019,3
100,100,21/07/2019,1
92,460,07/07/2019,5
100,100,20/07/2020,1
95,380,10/07/2019,4
75,150,02/08/2019,2
95,380,25/07/2019,4
100,200,13/08/2019,2
100,100,04/07/2020,1
93.33,280,05/06/2019,3
86.67,260,12/07/2019,3
100,100,23/06/2020,1
100,200,10/09/2019,2
87.5,175,21/06/2019,2
92.5,740,08/07/2019,8
100,100,21/07/2020,1
90,360,11/07/2020,4
80,80,22/07/2020,1
90,180,30/07/2020,2
80,80,15/07/2019,1
75,75,29/06/2019,1
100,100,31/07/2020,1
100,200,12/08/2019,2
100,100,27/07/2020,1
92,460,06/07/2019,5
90,360,12/07/2020,4
100,200,03/08/2020,2
100,100,30/10/2019,1
90,180,10/06/2019,2
75,75,19/06/2019,1
80,80,27/06/2019,1
87.5,175,02/07/2019,2
100,100,26/06/2020,1
100,200,05/06/2020,2
90,180,23/06/2019,2
100,100,06/07/2020,1
90,180,09/06/2019,2
100,100,23/08/2019,1
100,100,20/07/2019,1
100,200,13/07/2020,2
100,100,01/08/2020,1
100,200,02/11/2019,2
100,100,28/07/2020,1
100,100,03/06/2019,1
100,200,04/08/2020,2
80,80,07/07/2020,1
100,200,09/06/2020,2
100,100,05/07/2020,1
100,200,05/09/2019,2
88.75,355,27/07/2019,4
100,100,25/07/2020,1
92,460,11/07/2019,5
96,480,05/07/2019,5
80,160,25/06/2019,2
100,100,22/06/2020,1
100,200,10/08/2019,2
100,400,09/07/2020,4
75,75,18/06/2019,1
90,180,24/07/2019,2
100,100,24/07/2020,1
100,100,04/10/2019,1
100,100,20/08/2019,1
80,80,28/06/2019,1
100,200,03/09/2019,2
100,100,05/08/2019,1
100,100,06/06/2019,1
75,75,18/07/2019,1
100,200,08/08/2019,2
100,100,27/08/2019,1
80,80,14/07/2019,1
100,200,07/06/2019,2
96.67,580,09/07/2019,6
100,400,10/07/2020,4
100,100,22/09/2019,1
80,80,16/06/2019,1
100,200,08/09/2019,2
100,100,31/08/2019,1
87.5,175,20/06/2019,2
75,75,19/07/2019,1
80,80,28/06/2020,1
80,80,26/07/2020,1
100,200,06/06/2020,2
100,200,14/07/2020,2
78.33,235,28/07/2019,3
95,380,23/07/2019,4
100,100,23/07/2020,1
100,100,12/06/2019,1
80,160,15/07/2020,2
91.67,275,04/07/2019,3
