Avg Cost per Day,Date,Cost per Day,Number of Patients
75,29/06/2019,75,1
100,03/06/2019,100,1
100,06/06/2019,100,1
95,08/06/2019,380,4
90,10/06/2019,180,2
90,24/06/2019,180,2
75,04/07/2019,75,1
87.5,20/06/2019,175,2
80,15/06/2019,80,1
100,04/06/2019,100,1
80,28/06/2019,80,1
75,19/06/2019,75,1
100,12/06/2019,100,1
91.67,22/06/2019,275,3
80,27/06/2019,80,1
80,14/06/2019,80,1
80,25/06/2019,160,2
90,23/06/2019,180,2
100,02/06/2019,100,1
100,07/06/2019,200,2
75,18/06/2019,75,1
80,16/06/2019,80,1
90,09/06/2019,180,2
75,30/06/2019,75,1
100,11/06/2019,100,1
93.33,05/06/2019,280,3
75,03/07/2019,75,1
87.5,21/06/2019,175,2
80,26/06/2019,80,1
100,13/06/2019,100,1
75,02/07/2019,75,1
75,01/07/2019,75,1
80,17/06/2019,80,1
