Date,Sales
01/01/2019,20.25
02/01/2019,50.69
03/01/2019,21
04/01/2019,27.15
05/01/2019,174.49
06/01/2019,424.03
07/01/2019,401.03
08/01/2019,263.59
09/01/2019,68.63
10/01/2019,110.34
11/01/2019,499.67
12/01/2019,268.57
13/01/2019,322.32
14/01/2019,459.92
15/01/2019,425.47
16/01/2019,155.4
17/01/2019,32.43
18/01/2019,445.9
19/01/2019,494.34
20/01/2019,490.24
21/01/2019,482.94
22/01/2019,340.57
23/01/2019,456.74
24/01/2019,375.91
25/01/2019,76.99
26/01/2019,41.05
27/01/2019,103.52
28/01/2019,46.78
29/01/2019,285.72
30/01/2019,479.94
31/01/2019,477.84
01/02/2019,142.69
02/02/2019,163.02
03/02/2019,178.55
04/02/2019,318.88
05/02/2019,209.35
06/02/2019,28.23
07/02/2019,389.09
08/02/2019,14.48
09/02/2019,475.48
10/02/2019,474.2
11/02/2019,433.85
12/02/2019,305.95
13/02/2019,424.93
14/02/2019,89.1
15/02/2019,281.14
16/02/2019,132.24
17/02/2019,411.54
18/02/2019,96.7
19/02/2019,130.35
20/02/2019,325.2
21/02/2019,273.53
22/02/2019,2.71
23/02/2019,286.78
24/02/2019,18.35
25/02/2019,55.61
26/02/2019,6.34
27/02/2019,92.52
28/02/2019,405.41
01/03/2019,309.88
02/03/2019,299.03
03/03/2019,61.09
04/03/2019,275.08
05/03/2019,137.12
06/03/2019,345.9
07/03/2019,22.42
08/03/2019,429.43
09/03/2019,50.56
10/03/2019,362.28
11/03/2019,0.57
12/03/2019,173.16
13/03/2019,98.94
14/03/2019,327.36
15/03/2019,333.2
16/03/2019,137.17
17/03/2019,265.08
18/03/2019,38.85
19/03/2019,159.04
20/03/2019,242.14
21/03/2019,409.07
22/03/2019,188.74
23/03/2019,419.74
24/03/2019,43.12
25/03/2019,439.91
26/03/2019,134.23
27/03/2019,269.77
28/03/2019,319.42
29/03/2019,247.28
30/03/2019,493.3
31/03/2019,171.11
01/04/2019,401.66
02/04/2019,404.07
03/04/2019,477.45
04/04/2019,142.88
05/04/2019,8.7
06/04/2019,240.39
07/04/2019,179.33
08/04/2019,451.71
09/04/2019,202.51
10/04/2019,107.62
11/04/2019,119.97
12/04/2019,102.89
13/04/2019,492.68
14/04/2019,468.5
15/04/2019,438.16
16/04/2019,382.38
17/04/2019,234.47
18/04/2019,110.52
19/04/2019,162.88
20/04/2019,294.47
21/04/2019,404.69
22/04/2019,141.24
23/04/2019,428.62
24/04/2019,53.9
25/04/2019,401.42
26/04/2019,232.47
27/04/2019,151.08
28/04/2019,453.74
29/04/2019,128.29
30/04/2019,27.39
01/05/2019,433.95
02/05/2019,234.64
03/05/2019,180.31
04/05/2019,445.73
05/05/2019,440.47
06/05/2019,372.22
07/05/2019,258.11
08/05/2019,486.51
09/05/2019,238.64
10/05/2019,262.45
11/05/2019,408.09
12/05/2019,31.43
13/05/2019,161.28
14/05/2019,129.74
15/05/2019,94.83
16/05/2019,232.29
17/05/2019,247.63
18/05/2019,47
19/05/2019,450.02
20/05/2019,207.72
21/05/2019,223.74
22/05/2019,14.26
23/05/2019,323.91
24/05/2019,226.77
25/05/2019,444.97
26/05/2019,295.14
27/05/2019,45
28/05/2019,320.68
29/05/2019,116.9
30/05/2019,24.6
31/05/2019,274.81
01/06/2019,162.6
02/06/2019,307.93
03/06/2019,38.6
04/06/2019,200.77
05/06/2019,68.48
06/06/2019,267.59
07/06/2019,22.3
08/06/2019,0.26
09/06/2019,383.88
10/06/2019,241.36
11/06/2019,170.08
12/06/2019,454.77
13/06/2019,0.2
14/06/2019,481.58
15/06/2019,279.08
16/06/2019,331.96
17/06/2019,402.62
18/06/2019,368.25
19/06/2019,245.63
20/06/2019,476.22
21/06/2019,104.96
22/06/2019,173.4
23/06/2019,60.26
24/06/2019,481.55
25/06/2019,272.94
26/06/2019,346.8
27/06/2019,244.13
28/06/2019,27.46
29/06/2019,5.25
30/06/2019,0.34
01/07/2019,145.23
02/07/2019,167.57
03/07/2019,497.12
04/07/2019,215.46
05/07/2019,54.92
06/07/2019,227.52
07/07/2019,326.5
08/07/2019,302.64
09/07/2019,185.16
10/07/2019,395.36
11/07/2019,490.9
12/07/2019,159.55
13/07/2019,89.77
14/07/2019,217.7
15/07/2019,476
16/07/2019,211.43
17/07/2019,470.97
18/07/2019,293.94
19/07/2019,491.09
20/07/2019,311.16
21/07/2019,328.41
22/07/2019,258.65
23/07/2019,315.29
24/07/2019,459.22
25/07/2019,322.76
26/07/2019,276.31
27/07/2019,4.98
28/07/2019,372.01
29/07/2019,125.16
30/07/2019,220.17
31/07/2019,401
01/08/2019,179.17
02/08/2019,312.46
03/08/2019,235.53
04/08/2019,155.28
05/08/2019,452.32
06/08/2019,56.29
07/08/2019,457.38
08/08/2019,175.82
09/08/2019,85.89
10/08/2019,353.93
11/08/2019,80.64
12/08/2019,205.16
13/08/2019,68.95
14/08/2019,378.23
15/08/2019,238.76
16/08/2019,217.59
17/08/2019,176.15
18/08/2019,120.02
19/08/2019,287.44
20/08/2019,307.52
21/08/2019,142.4
22/08/2019,480.2
23/08/2019,347.75
24/08/2019,376.6
25/08/2019,340.15
26/08/2019,115.2
27/08/2019,16.11
28/08/2019,62.6
29/08/2019,171.81
30/08/2019,480.77
31/08/2019,102.73
01/09/2019,140.05
02/09/2019,36.86
03/09/2019,469.44
04/09/2019,322.5
05/09/2019,450.31
06/09/2019,322.03
07/09/2019,487.02
08/09/2019,362.12
09/09/2019,393.84
10/09/2019,429.76
11/09/2019,49.13
12/09/2019,117.47
13/09/2019,20.49
14/09/2019,181
15/09/2019,346.36
16/09/2019,144.22
17/09/2019,68.87
18/09/2019,239.66
19/09/2019,282.95
20/09/2019,101.27
21/09/2019,401.32
22/09/2019,27.03
23/09/2019,17.01
24/09/2019,450.09
25/09/2019,486.4
26/09/2019,451.28
27/09/2019,319.92
28/09/2019,432.74
29/09/2019,261.04
30/09/2019,56.21
01/10/2019,419.66
02/10/2019,58.75
03/10/2019,492.71
04/10/2019,280.47
05/10/2019,482.01
06/10/2019,212.39
07/10/2019,173.76
08/10/2019,221.75
09/10/2019,299.87
10/10/2019,130.34
11/10/2019,245.87
12/10/2019,398.56
13/10/2019,433.84
14/10/2019,204.16
15/10/2019,303.19
16/10/2019,130.34
17/10/2019,224.6
18/10/2019,170.85
19/10/2019,489.06
20/10/2019,159.5
21/10/2019,256.6
22/10/2019,15.32
23/10/2019,419.66
24/10/2019,476.78
25/10/2019,371.39
26/10/2019,447.43
27/10/2019,238.87
28/10/2019,456.81
29/10/2019,9.74
30/10/2019,154.33
31/10/2019,27.6
01/11/2019,356.45
02/11/2019,476.47
03/11/2019,165.84
04/11/2019,375.03
05/11/2019,183.85
06/11/2019,101.72
07/11/2019,373.27
08/11/2019,257.96
09/11/2019,111.56
10/11/2019,397.78
11/11/2019,177.31
12/11/2019,473.9
13/11/2019,132.05
14/11/2019,122
15/11/2019,249.46
16/11/2019,167.11
17/11/2019,453.82
18/11/2019,336.55
19/11/2019,206.8
20/11/2019,122.82
21/11/2019,373.17
22/11/2019,155.57
23/11/2019,20.35
24/11/2019,49.22
25/11/2019,116.95
26/11/2019,295.1
27/11/2019,282.93
28/11/2019,182.1
29/11/2019,407.56
30/11/2019,29.02
01/12/2019,324.42
02/12/2019,394.12
03/12/2019,308.86
04/12/2019,359.74
05/12/2019,316.62
06/12/2019,243.02
07/12/2019,332.57
08/12/2019,74.95
09/12/2019,17.62
10/12/2019,141.61
11/12/2019,161.79
12/12/2019,381.17
13/12/2019,15.17
14/12/2019,380.89
15/12/2019,195.46
16/12/2019,454.25
17/12/2019,368.19
18/12/2019,48.26
19/12/2019,52.53
20/12/2019,401.92
21/12/2019,249.97
22/12/2019,489.87
23/12/2019,439.21
24/12/2019,228.5
25/12/2019,7.83
26/12/2019,153.93
27/12/2019,21
28/12/2019,40.12
29/12/2019,347.58
30/12/2019,59.52
31/12/2019,176.79
