Date,is_Holiday
1-May,Weekday
2-May,Weekday
3-May,Weekday
4-May,Weekend
5-May,Weekend
6-May,Bank Holiday
7-May,Weekday
8-May,Weekday
9-May,Weekday
10-May,Weekday
11-May,Weekend
12-May,Weekend
13-May,Weekday
14-May,Weekday
15-May,Weekday
16-May,Weekday
17-May,Weekday
18-May,Weekend
19-May,Weekend
20-May,Weekday
21-May,Weekday
22-May,Weekday
23-May,Weekday
24-May,Weekday
25-May,Weekend
26-May,Weekend
27-May,Bank Holiday
28-May,Weekday
29-May,Weekday
30-May,Weekday
31-May,Weekday
1-Jun,Weekend
2-Jun,Weekend
3-Jun,Weekday
4-Jun,Weekday
5-Jun,Weekday
6-Jun,Weekday
7-Jun,Weekday
8-Jun,Weekend
9-Jun,Weekend
10-Jun,Weekday
11-Jun,Weekday
12-Jun,Weekday
13-Jun,Weekday
14-Jun,Weekday
15-Jun,Weekend
16-Jun,Weekend
17-Jun,Weekday
18-Jun,Weekday
19-Jun,Weekday
20-Jun,Weekday
21-Jun,Weekday
22-Jun,Weekend
23-Jun,Weekend
24-Jun,Weekday
25-Jun,Weekday
26-Jun,Weekday
27-Jun,Weekday
28-Jun,Weekday
29-Jun,Weekend
30-Jun,Weekend
1-Jul,Weekday
2-Jul,Weekday
3-Jul,Weekday
4-Jul,Weekday
5-Jul,Weekday
6-Jul,Weekend
7-Jul,Weekend
8-Jul,Weekday
9-Jul,Weekday
10-Jul,Weekday
11-Jul,Weekday
12-Jul,Weekday
13-Jul,Weekend
14-Jul,Weekend
15-Jul,Weekday
16-Jul,Weekday
17-Jul,Weekday
18-Jul,Weekday
19-Jul,Weekday
20-Jul,Weekend
21-Jul,Weekend
22-Jul,Weekday
23-Jul,Weekday
24-Jul,Weekday
25-Jul,Weekday
26-Jul,Weekday
27-Jul,Weekend
28-Jul,Weekend
29-Jul,Weekday
30-Jul,Weekday
31-Jul,Weekday
