Date,New - Saddles,New - Mudguards,New - Wheels,New - Bags,Existing - Saddles,Existing - Mudguards,Existing - Wheels,Existing - Bags
21/1/2021,1,53,4,23,19,19,16,23
21/2/2021,8,42,7,36,12,18,0,40
21/3/2021,8,9,5,28,20,59,2,25
21/4/2021,2,25,2,34,14,57,0,13
21/5/2021,19,1,18,33,11,2,2,2
21/6/2021,19,5,18,0,17,7,16,29
21/7/2021,16,4,13,37,20,6,2,13
21/8/2021,1,3,17,15,13,1,4,11
21/9/2021,3,39,18,23,20,33,12,24
21/10/2021,20,39,9,34,6,14,4,16
21/11/2021,11,6,9,33,14,26,3,12
21/12/2021,15,30,17,16,19,24,17,10
