Date,New - Saddles,New - Mudguards,New - Wheels,New - Bags,Existing - Saddles,Existing - Mudguards,Existing - Wheels,Existing - Bags
21/1/2021,3,44,18,30,5,35,19,19
21/2/2021,19,32,2,38,3,7,17,14
21/3/2021,16,52,2,1,17,0,18,14
21/4/2021,6,56,1,14,18,15,1,9
21/5/2021,5,3,6,36,16,0,1,26
21/6/2021,13,6,16,22,12,4,18,20
21/7/2021,10,8,7,25,20,9,3,12
21/8/2021,16,9,10,2,20,0,7,6
21/9/2021,1,32,2,23,14,36,17,23
21/10/2021,9,8,17,23,18,15,8,36
21/11/2021,12,11,15,23,2,24,5,25
21/12/2021,13,30,19,14,18,37,15,25
