PLAYER NAME,MONEY,EVENTS,TOUR
Brooks Koepka,"$9,684,006 ",21,PGA
Rory McIlroy,"$7,785,286 ",19,PGA
Matt Kuchar,"$6,294,690 ",22,PGA
Patrick Cantlay,"$6,121,488 ",21,PGA
Gary Woodland,"$5,690,965 ",24,PGA
Xander Schauffele,"$5,609,456 ",21,PGA
Dustin Johnson,"$5,534,619 ",19,PGA
Justin Thomas,"$5,013,084 ",20,PGA
Jon Rahm,"$4,990,110 ",20,PGA
Webb Simpson,"$4,690,572 ",21,PGA
Justin Rose,"$4,358,849 ",17,PGA
Tony Finau,"$4,344,380 ",25,PGA
Paul Casey,"$4,257,040 ",22,PGA
Adam Scott,"$4,084,541 ",18,PGA
Rickie Fowler,"$3,945,810 ",20,PGA
Marc Leishman,"$3,886,577 ",21,PGA
Tommy Fleetwood,"$3,853,651 ",18,PGA
Chez Reavie,"$3,660,909 ",28,PGA
Patrick Reed,"$3,593,844 ",25,PGA
Shane Lowry,"$3,490,098 ",14,PGA
Kevin Kisner,"$3,489,144 ",25,PGA
Francesco Molinari,"$3,467,143 ",15,PGA
Hideki Matsuyama,"$3,335,137 ",24,PGA
Tiger Woods,"$3,199,615 ",12,PGA
Bryson DeChambeau,"$3,186,232 ",21,PGA
Brandt Snedeker,"$3,122,936 ",27,PGA
Charles Howell III,"$3,039,049 ",27,PGA
Corey Conners,"$2,919,864 ",28,PGA
Ryan Palmer,"$2,873,316 ",21,PGA
Sungjae Im,"$2,851,134 ",35,PGA
Sung Kang,"$2,801,650 ",27,PGA
Abraham Ancer,"$2,688,625 ",27,PGA
Scott Piercy,"$2,679,915 ",24,PGA
Jim Furyk,"$2,669,938 ",21,PGA
Jason Day,"$2,637,480 ",21,PGA
Lucas Glover,"$2,613,965 ",26,PGA
Louis Oosthuizen,"$2,539,183 ",19,PGA
J.T. Poston,"$2,461,215 ",29,PGA
Phil Mickelson,"$2,440,221 ",20,PGA
Andrew Putnam,"$2,439,137 ",23,PGA
Keith Mitchell,"$2,405,360 ",26,PGA
Rory Sabbatini,"$2,382,298 ",26,PGA
C.T. Pan,"$2,362,399 ",25,PGA
Jason Kokrak,"$2,330,212 ",24,PGA
Kevin Tway,"$2,300,050 ",26,PGA
Kevin Na,"$2,257,309 ",19,PGA
Si Woo Kim,"$2,191,808 ",28,PGA
Billy Horschel,"$2,187,249 ",26,PGA
Ian Poulter,"$2,162,306 ",18,PGA
J.B. Holmes,"$2,147,065 ",25,PGA
Jordan Spieth,"$2,124,192 ",23,PGA
Max Homa,"$2,063,606 ",25,PGA
Adam Hadwin,"$2,039,012 ",24,PGA
Nate Lashley,"$2,030,287 ",21,PGA
Byeong Hun An,"$1,990,033 ",22,PGA
Joel Dahmen,"$1,949,958 ",29,PGA
Rafa Cabrera Bello,"$1,926,935 ",19,PGA
Keegan Bradley,"$1,902,797 ",25,PGA
Ryan Moore,"$1,838,788 ",22,PGA
Sergio Garcia,"$1,793,027 ",15,PGA
Collin Morikawa,"$1,754,890 ",9,PGA
Emiliano Grillo,"$1,752,114 ",23,PGA
Vaughn Taylor,"$1,723,910 ",27,PGA
Cameron Champ,"$1,695,748 ",26,PGA
Graeme McDowell,"$1,671,523 ",20,PGA
Adam Long,"$1,648,007 ",27,PGA
Kiradech Aphibarnrat,"$1,630,073 ",20,PGA
Kevin Streelman,"$1,588,881 ",26,PGA
Dylan Frittelli,"$1,576,974 ",24,PGA
Jhonattan Vegas,"$1,566,910 ",23,PGA
Bubba Watson,"$1,558,014 ",19,PGA
Harold Varner III,"$1,553,149 ",26,PGA
Troy Merritt,"$1,531,143 ",21,PGA
Danny Lee,"$1,524,126 ",27,PGA
Tyrrell Hatton,"$1,517,396 ",17,PGA
Cameron Smith,"$1,504,820 ",23,PGA
Charley Hoffman,"$1,468,855 ",24,PGA
Joaquin Niemann,"$1,434,519 ",28,PGA
Matt Every,"$1,413,149 ",16,PGA
Chesson Hadley,"$1,405,632 ",26,PGA
Henrik Stenson,"$1,397,370 ",15,PGA
Luke List,"$1,391,408 ",22,PGA
Matthew Wolff,"$1,390,433 ",8,PGA
Branden Grace,"$1,373,185 ",22,PGA
Brian Harman,"$1,342,778 ",29,PGA
Brian Stuard,"$1,320,637 ",29,PGA
Michael Thompson,"$1,307,816 ",22,PGA
Danny Willett,"$1,286,737 ",19,PGA
Wyndham Clark,"$1,278,721 ",27,PGA
Adam Schenk,"$1,257,158 ",31,PGA
J.J. Spaun,"$1,205,977 ",26,PGA
Russell Henley,"$1,133,773 ",25,PGA
Russell Knox,"$1,132,825 ",22,PGA
Kyle Stanley,"$1,117,604 ",25,PGA
Sam Burns,"$1,117,312 ",26,PGA
Pat Perez,"$1,103,241 ",21,PGA
Bud Cauley,"$1,090,018 ",25,PGA
Scott Stallings,"$1,080,451 ",26,PGA
Chris Stroud,"$1,075,552 ",26,PGA
Carlos Ortiz,"$1,073,962 ",28,PGA
