Pizza,Pizza Price ,Pizza ID,Pasta,Pasta Price,Pasta ID,House Plates,House Plates Prices,House Plates ID
Margherita,10,10101,Top Truffle Tagliatelle,14,20101,house fried chicken,11,30113
Vegan Viking,13,10102,Rock Star Rigatoni,15,20102,vegan fried chicken,11,30112
green god,12,10103,Slow Beef Rigatoni,14,20103,feta &watermelon salad,12,30111
rock star margherita,13,10104,Spicy Ragu Tagliatelle,12,20104,fried chicken salad,12,30110
samson,14,10105,Beetroot Gnocchi (Vegan),13,20105,,,
london field,14,10106,Chef's Meatballs,11,20106,,,
the hot don ,15,10107,,,,,,
Truffle Hound,14,10108,,,,,,
Bianco,12,10109,,,,,,
Smokey Bandit,13,10110,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
