Episode,Pokemon
EP001,Pikachu
EP001,Nidorino
EP001,Onix
EP001,Gengar
EP001,Spearow
EP001,Ho-Oh
EP001,Bulbasaur
EP001,Charmander
EP001,Squirtle
EP001,Pidgey
EP001,Rattata
EP001,Sandshrew
EP001,Mankey
EP001,Dodrio
EP001,Magikarp
EP001,Gyarados
EP002,Pikachu
EP002,Meowth
EP002,Goldeen
EP002,Ekans
EP002,Koffing
EP002,Chansey
EP002,Pikachu
EP002,Pidgey
EP002,Rattata
EP002,Ho-Oh
EP002,Caterpie
EP002,Spearow
EP002,Jigglypuff
EP004,Pikachu
EP004,Meowth
EP004,Metapod
EP004,Butterfree
EP004,Pidgeotto
EP004,Squirtle
EP004,Pinsir
EP004,Metapod
EP004,Bulbasaur
EP004,Charmander
EP004,Weedle
EP004,Kakuna
EP004,Beedrill
EP003,Pikachu
EP003,Meowth
EP003,Caterpie
EP003,Metapod
EP003,Pidgeotto
EP003,Ekans
EP003,Koffing
EP003,Butterfree
EP003,Beedrill
EP005,Pikachu
EP005,Meowth
EP005,Pidgeotto
EP005,Onix
EP005,Geodude
EP006,Pikachu
EP006,Meowth
EP006,Butterfree
EP006,Pidgeotto
EP006,Staryu
EP006,Onix
EP006,Zubat
EP006,Ekans
EP006,Koffing
EP006,Sandshrew
EP006,Clefairy
EP006,Clefable
EP006,Zubat
EP006,Paras
EP007,Pikachu
EP007,Meowth
EP007,Caterpie
EP007,Butterfree
EP007,Pidgeotto
EP007,Goldeen
EP007,Staryu
EP007,Starmie
EP007,Onix
EP007,Zubat
EP007,Seel
EP007,Goldeen
EP008,Pikachu
EP008,Meowth
EP008,Butterfree
EP008,Pidgeotto
EP008,Ekans
EP008,Koffing
EP008,Sandshrew
EP008,Butterfree
EP008,Beedrill
EP008,Rattata
EP008,Rattata
EP009,Pikachu
EP009,Meowth
EP009,Starmie
EP009,Graveler
EP009,Cubone
EP009,Weepinbell
EP009,Pidgey
EP009,Pidgeotto
EP009,Pidgeot
EP010,Pikachu
EP010,Meowth
EP010,Butterfree
EP010,Pidgeotto
EP010,Bulbasaur
EP010,Starmie
EP010,Caterpie
EP010,Rattata
EP010,Oddish
EP010,Paras
EP010,Weepinbell
EP010,Staryu
EP010,Magikarp
EP011,Pikachu
EP011,Meowth
EP011,Charmander
EP011,Spearow
EP013,Pikachu
EP013,Meowth
EP013,Butterfree
EP013,Pidgeotto
EP013,Bulbasaur
EP013,Charmander
EP013,Squirtle
EP013,Krabby
EP013,Krabby
EP013,Dragonite
EP012,Pikachu
EP012,Meowth
EP012,Charmander
EP012,Squirtle
EP012,Squirtle
EP012,Goldeen
EP015,Pikachu
EP015,Meowth
EP015,Caterpie
EP015,Metapod
EP015,Butterfree
EP015,Pidgeotto
EP015,Bulbasaur
EP015,Charmander
EP015,Squirtle
EP015,Staryu
EP015,Geodude
EP015,Magikarp
EP015,Persian
EP015,Raticate
EP015,Squirtle
EP015,Squirtle
EP015,Bulbasaur
EP015,Charmander
EP015,Caterpie
EP015,Butterfree
EP015,Beedrill
EP015,Pidgey
EP015,Pidgeotto
EP015,Rattata
EP015,Pikachu
EP015,Oddish
EP015,Weepinbell
EP015,Geodude
EP015,Staryu
EP015,Starmie
EP015,Persian
EP014,Pikachu
EP014,Meowth
EP014,Koffing
EP014,Chansey
EP014,Raichu
EP014,Caterpie
EP014,Pidgey
EP014,Rattata
EP014,Sandshrew
EP014,Oddish
EP017,Pikachu
EP017,Meowth
EP017,Bulbasaur
EP017,Charmander
EP017,Squirtle
EP017,Ekans
EP017,Koffing
EP017,Persian
EP017,Slowpoke
EP017,Slowbro
EP017,Krabby
EP017,Rhydon
EP017,Zapdos
EP017,Moltres
EP017,Pikachu
EP017,Kabutops
EP017,Venusaur
EP017,Blastoise
EP017,Charizard
EP016,Pikachu
EP016,Meowth
EP016,Pidgeotto
EP016,Bulbasaur
EP016,Charmander
EP016,Squirtle
EP016,Goldeen
EP016,Staryu
EP016,Starmie
EP016,Geodude
EP016,Onix
EP016,Ekans
EP016,Koffing
EP016,Magikarp
EP016,Gyarados
EP016,Gyarados
EP019,Pikachu
EP019,Meowth
EP019,Butterfree
EP019,Pidgeotto
EP019,Bulbasaur
EP019,Squirtle
EP019,Goldeen
EP019,Staryu
EP019,Starmie
EP019,Horsea
EP019,Zubat
EP019,Tentacool
EP019,Tentacruel
EP018,Pikachu
EP018,Meowth
EP018,Pidgeotto
EP018,Bulbasaur
EP018,Charmander
EP018,Squirtle
EP018,Starmie
EP018,Ekans
EP018,Koffing
EP021,Pikachu
EP021,Meowth
EP021,Caterpie
EP021,Metapod
EP021,Butterfree
EP021,Staryu
EP021,Starmie
EP021,Zubat
EP021,Persian
EP021,Butterfree
EP021,Butterfree
EP020,Pikachu
EP020,Meowth
EP020,Bulbasaur
EP020,Charmander
EP020,Squirtle
EP020,Ekans
EP020,Koffing
EP020,Gastly
EP020,Venusaur
EP020,Blastoise
EP020,Venustoise
EP023,Pikachu
EP023,Meowth
EP023,Charmander
EP023,Kadabra
EP023,Haunter
EP023,Gastly
EP023,Gengar
EP022,Pikachu
EP022,Meowth
EP022,Bulbasaur
EP022,Abra
EP022,Kadabra
EP024,Pikachu
EP024,Meowth
EP024,Bulbasaur
EP024,Charmander
EP024,Squirtle
EP024,Kadabra
EP024,Haunter
EP025,Pikachu
EP025,Meowth
EP025,Bulbasaur
EP025,Charmander
EP025,Squirtle
EP025,Krabby
EP025,Primeape
EP025,Ekans
EP025,Koffing
EP025,Mankey
EP025,Primeape
EP025,Poliwag
EP025,Poliwhirl
EP025,Bellsprout
EP025,Slowpoke
EP025,Dodrio
EP025,Charizard
EP025,Blastoise
EP026,Pikachu
EP026,Meowth
EP026,Bulbasaur
EP026,Charmander
EP026,Squirtle
EP026,Primeape
EP026,Staryu
EP026,Starmie
EP026,Geodude
EP026,Koffing
EP026,Gloom
EP026,Tangela
EP026,Weepinbell
EP026,Oddish
EP026,Bellsprout
EP026,Gloom
EP026,Weepinbell
EP026,Tangela
EP026,Vileplume
EP026,Victreebel
EP026,Exeggcute
EP026,Grimer
EP027,Pikachu
EP027,Meowth
EP027,Pidgeotto
EP027,Staryu
EP027,Psyduck
EP027,Drowzee
EP027,Hypno
EP027,Charmander
EP027,Oddish
EP027,Cubone
EP027,Magikarp
EP029,Pikachu
EP029,Meowth
EP029,Charmander
EP029,Primeape
EP029,Geodude
EP029,Hitmonchan
EP029,Hitmonlee
EP029,Poliwrath
EP029,Machop
EP029,Machoke
EP029,Machamp
EP030,Pikachu
EP030,Meowth
EP030,Muk
EP030,Pidgey
EP030,Rattata
EP030,Raticate
EP030,Spearow
EP030,Sandshrew
EP030,Oddish
EP030,Bellsprout
EP030,Grimer
EP030,Fearow
EP030,Nidoran?
EP030,Growlithe
EP030,Magnemite
EP030,Magneton
EP031,Pikachu
EP031,Meowth
EP031,Bulbasaur
EP031,Charmander
EP031,Squirtle
EP031,Ekans
EP031,Arbok
EP031,Koffing
EP031,Weezing
EP031,Diglett
EP031,Dugtrio
EP031,Caterpie
EP031,Beedrill
EP031,Pidgey
EP031,Pidgeotto
EP031,Rattata
EP031,Spearow
EP031,Oddish
EP031,Psyduck
EP031,Onix
EP031,Chansey
EP032,Pikachu
EP032,Meowth
EP032,Pidgeotto
EP032,Bulbasaur
EP032,Charmander
EP032,Psyduck
EP032,Vulpix
EP032,Arbok
EP032,Weezing
EP032,Venonat
EP032,Venomoth
EP032,Golbat
EP032,Voltorb
EP032,Venonat
EP033,Pikachu
EP033,Meowth
EP033,Charmander
EP033,Squirtle
EP033,Starmie
EP033,Onix
EP033,Arbok
EP033,Weezing
EP033,Growlithe
EP033,Ponyta
EP033,Rapidash
EP033,Dodrio
EP033,Dodrio
EP033,Raticate
EP033,Sandslash
EP033,Nidorina
EP033,Nidorino
EP033,Rhyhorn
EP033,Tauros
EP033,Electrode
EP034,Pikachu
EP034,Meowth
EP034,Bulbasaur
EP034,Charmander
EP034,Squirtle
EP034,Weedle
EP034,Oddish
EP034,Vileplume
EP034,Venonat
EP034,Venomoth
EP034,Mankey
EP034,Bellsprout
EP034,Victreebel
EP034,Tangela
EP034,Kangaskhan
EP035,Pikachu
EP035,Meowth
EP035,Tauros
EP035,Staryu
EP035,Arbok
EP035,Nidorina
EP035,Nidorino
EP035,Poliwag
EP035,Slowpoke
EP035,Rhyhorn
EP035,Rhydon
EP035,Horsea
EP035,Goldeen
EP035,Magikarp
EP035,Gyarados
EP035,Dratini
EP035,Dragonair
EP036,Pikachu
EP036,Meowth
EP036,Bulbasaur
EP036,Charmander
EP036,Psyduck
EP036,Golem
EP036,Cloyster
EP036,Shellder
EP037,Pikachu
EP037,Meowth
EP037,Pidgeotto
EP037,Bulbasaur
EP037,Zubat
EP037,Weezing
EP037,Ditto
EP037,Machoke
EP037,Voltorb
EP037,Electrode
EP037,Dratini
EP028,Pikachu
EP028,Meowth
EP028,Psyduck
EP028,Geodude
EP028,Vulpix
EP028,Ekans
EP028,Koffing
EP028,Bulbasaur
EP028,Charmander
EP028,Squirtle
EP028,Caterpie
EP028,Butterfree
EP028,Pidgey
EP028,Pidgeotto
EP028,Rattata
EP028,Raichu
EP028,Sandshrew
EP028,Nidoran?
EP028,Oddish
EP028,Paras
EP028,Venonat
EP028,Bellsprout
EP028,Weepinbell
EP028,Geodude
EP028,Slowbro
EP028,Dodrio
EP028,Voltorb
EP028,Cubone
EP028,Chansey
EP028,Staryu
EP038,Pikachu
EP038,Meowth
EP038,Bulbasaur
EP038,Psyduck
EP038,Arbok
EP038,Porygon
EP038,Weezing
EP038,Porygon
EP038,Ninetales
EP038,Magikarp
EP040,Pikachu
EP040,Meowth
EP040,Pidgeotto
EP040,Squirtle
EP040,Horsea
EP040,Psyduck
EP040,Vulpix
EP040,Arbok
EP040,Weezing
EP040,Eevee
EP040,Vaporeon
EP040,Jolteon
EP040,Flareon
EP040,Raichu
EP040,Ninetales
EP040,Vileplume
EP040,Poliwhirl
EP040,Poliwrath
EP040,Victreebel
EP040,Cloyster
EP040,Exeggutor
EP040,Starmie
EP041,Pikachu
EP041,Meowth
EP041,Pidgeotto
EP041,Bulbasaur
EP041,Horsea
EP041,Psyduck
EP041,Arbok
EP041,Weezing
EP041,Snorlax
EP042,Pikachu
EP042,Meowth
EP042,Bulbasaur
EP042,Vulpix
EP042,Arbok
EP042,Weezing
EP042,Chansey
EP042,Scyther
EP042,Electabuzz
EP042,Mankey
EP042,Machoke
EP042,Hitmonlee
EP042,Hitmonchan
EP042,Raticate
EP042,Golem
EP042,Kingler
EP042,Rhydon
EP043,Pikachu
EP043,Meowth
EP043,Bulbasaur
EP043,Charmander
EP043,Charmeleon
EP043,Squirtle
EP043,Exeggcute
EP043,Exeggutor
EP043,Exeggutor
EP043,Venusaur
EP043,Butterfree
EP043,Oddish
EP043,Machoke
EP043,Bellsprout
EP043,Ponyta
EP043,Dodrio
EP043,Chansey
EP044,Pikachu
EP044,Meowth
EP044,Charmeleon
EP044,Squirtle
EP044,Arbok
EP044,Weezing
EP044,Paras
EP044,Parasect
EP044,Persian
EP045,Pikachu
EP045,Meowth
EP045,Pidgeotto
EP045,Bulbasaur
EP045,Squirtle
EP045,Staryu
EP045,Psyduck
EP045,Onix
EP045,Arbok
EP045,Weezing
EP045,Jigglypuff
EP046,Pikachu
EP046,Meowth
EP046,Charmeleon
EP046,Charizard
EP046,Squirtle
EP046,Geodude
EP046,Arbok
EP046,Weezing
EP046,Jigglypuff
EP046,Omanyte
EP046,Omastar
EP046,Kabuto
EP046,Kabutops
EP046,Aerodactyl
EP039,Pikachu
EP039,Meowth
EP039,Pidgeotto
EP039,Starmie
EP039,Pikachu
EP039,Raichu
EP039,Gloom
EP039,Spearow
EP039,Pikachu
EP047,Pikachu
EP047,Meowth
EP047,Bulbasaur
EP047,Squirtle
EP047,Arbok
EP047,Weezing
EP047,Chansey
EP047,Ivysaur
EP047,Kakuna
EP047,Raticate
EP047,Sandslash
EP047,Nidorino
EP047,Nidoking
EP047,Oddish
EP047,Paras
EP047,Parasect
EP047,Venonat
EP047,Poliwag
EP047,Poliwhirl
EP047,Weepinbell
EP047,Dodrio
EP047,Voltorb
EP047,Cubone
EP047,Hitmonlee
EP047,Rhyhorn
EP047,Pinsir
EP047,Tauros
EP047,Porygon
EP048,Pikachu
EP048,Meowth
EP048,Growlithe
EP048,Oddish
EP048,Vileplume
EP048,Magikarp
EP049,Pikachu
EP049,Meowth
EP049,Bulbasaur
EP049,Psyduck
EP049,Farfetch'd
EP049,Voltorb
EP050,Pikachu
EP050,Meowth
EP050,Togepi
EP050,Pidgeotto
EP050,Bulbasaur
EP050,Charmeleon
EP050,Muk
EP050,Staryu
EP050,Psyduck
EP050,Geodude
EP050,Onix
EP050,Arbok
EP050,Weezing
EP050,Aerodactyl
EP050,Tentacruel
EP050,Golem
EP050,Lapras
EP050,Dragonair
EP051,Pikachu
EP051,Meowth
EP051,Togepi
EP051,Bulbasaur
EP051,Chansey
EP051,Rhyhorn
EP051,Bulbasaur
EP051,Ivysaur
EP051,Venusaur
EP052,Pikachu
EP052,Meowth
EP052,Bulbasaur
EP052,Psyduck
EP052,Vulpix
EP052,Arbok
EP052,Lickitung
EP052,Weezing
EP052,Primeape
EP052,Raticate
EP052,Fearow
EP052,Parasect
EP052,Machoke
EP052,Graveler
EP052,Kingler
EP052,Cubone
EP052,Tangela
EP052,Pinsir
EP052,Jynx
EP052,Jigglypuff
EP052,Oddish
EP052,Chansey
EP052,Pikachu
EP052,Clefairy
EP052,Squirtle
EP052,Charmander
EP052,Bulbasaur
EP052,Poliwhirl
EP052,Slowpoke
EP053,Pikachu
EP053,Meowth
EP053,Togepi
EP053,Pidgeotto
EP053,Bulbasaur
EP053,Squirtle
EP053,Goldeen
EP053,Staryu
EP053,Starmie
EP053,Horsea
EP053,Psyduck
EP053,Onix
EP053,Geodude
EP053,Zubat
EP053,Vulpix
EP053,Arbok
EP053,Weezing
EP053,Beedrill
EP053,Meowth
EP054,Pikachu
EP054,Meowth
EP054,Togepi
EP054,Growlithe
EP054,Jigglypuff
EP054,Dodrio
EP055,Pikachu
EP055,Meowth
EP055,Togepi
EP055,Pidgeotto
EP055,Bulbasaur
EP055,Charmeleon
EP055,Squirtle
EP055,Goldeen
EP055,Staryu
EP055,Starmie
EP055,Horsea
EP055,Psyduck
EP055,Onix
EP055,Geodude
EP055,Zubat
EP055,Vulpix
EP055,Aerodactyl
EP055,Pidgey
EP055,Dugtrio
EP055,Mankey
EP055,Slowbro
EP055,Kangaskhan
EP055,Chansey
EP055,Eevee
EP055,Snorlax
EP056,Pikachu
EP056,Meowth
EP056,Togepi
EP056,Squirtle
EP056,Charmander
EP056,Pikachu
EP056,Graveler
EP056,Ivysaur
EP056,Charizard
EP056,Flareon
EP056,Weezing
EP056,Jolteon
EP056,Arbok
EP056,Meowth
EP056,Vaporeon
EP056,Oddish
EP056,Weedle
EP056,Lickitung
EP056,Hitmonlee
EP056,Magikarp
EP056,Caterpie
EP056,Koffing
EP056,Jigglypuff
EP056,Poliwag
EP056,Ponyta
EP056,Vulpix
EP056,Voltorb
EP056,Electrode
EP056,Omanyte
EP056,Arbok
EP056,Charmander
EP056,Poliwrath
EP056,Ninetales
EP056,Wartortle
EP056,Poliwhirl
EP057,Pikachu
EP057,Meowth
EP057,Togepi
EP057,Pidgeotto
EP057,Bulbasaur
EP057,Squirtle
EP057,Goldeen
EP057,Staryu
EP057,Starmie
EP057,Horsea
EP057,Psyduck
EP057,Onix
EP057,Geodude
EP057,Zubat
EP057,Vulpix
EP057,Victreebel
EP057,Persian
EP057,Raticate
EP057,Bulbasaur
EP057,Charmander
EP057,Charmeleon
EP057,Charizard
EP057,Squirtle
EP057,Caterpie
EP057,Metapod
EP057,Pidgeotto
EP057,Rattata
EP057,Spearow
EP057,Sandshrew
EP057,Nidoran?
EP057,Nidorino
EP057,Oddish
EP057,Paras
EP057,Mankey
EP057,Poliwag
EP057,Poliwrath
EP057,Bellsprout
EP057,Weepinbell
EP057,Voltorb
EP057,Cubone
EP057,Staryu
EP057,Exeggcute
EP058,Pikachu
EP058,Meowth
EP058,Togepi
EP058,Pidgeotto
EP058,Charizard
EP058,Squirtle
EP058,Ninetales
EP058,Rhydon
EP058,Magmar
EP058,Jigglypuff
EP058,Hitmonlee
EP058,Electabuzz
EP058,Primeape
EP058,Poliwhirl
EP058,Machop
EP058,Machoke
EP058,Hitmonlee
EP058,Hitmonchan
EP059,Pikachu
EP059,Meowth
EP059,Togepi
EP059,Charizard
EP059,Squirtle
EP059,Staryu
EP059,Psyduck
EP059,Onix
EP059,Geodude
EP059,Magmar
EP059,Jigglypuff
EP060,Pikachu
EP060,Meowth
EP060,Togepi
EP060,Squirtle
EP060,Goldeen
EP060,Staryu
EP060,Starmie
EP060,Horsea
EP060,Jigglypuff
EP060,Squirtle
EP060,Wartortle
EP060,Blastoise
EP061,Pikachu
EP061,Meowth
EP061,Togepi
EP061,Squirtle
EP061,Goldeen
EP061,Staryu
EP061,Starmie
EP061,Horsea
EP061,Psyduck
EP061,Arbok
EP061,Weezing
EP061,Seel
EP061,Dewgong
EP061,Shellder
EP061,Goldeen
EP061,Seaking
EP062,Pikachu
EP062,Meowth
EP062,Togepi
EP062,Pidgeotto
EP062,Bulbasaur
EP062,Jigglypuff
EP062,Clefairy
EP062,Caterpie
EP062,Pidgey
EP062,Dugtrio
EP062,Slowpoke
EP064,Pikachu
EP064,Meowth
EP064,Togepi
EP064,Charizard
EP064,Mr. Mime
EP064,Persian
EP064,Mewtwo
EP064,Mr. Mime
EP064,Machoke
EP064,Ponyta
EP064,Rapidash
EP064,Dodrio
EP064,Exeggcute
EP064,Tangela
EP063,Pikachu
EP063,Meowth
EP063,Togepi
EP063,Pidgeotto
EP063,Bulbasaur
EP063,Squirtle
EP063,Arbok
EP063,Weezing
EP063,Nidoking
EP063,Arcanine
EP063,Persian
EP063,Golem
EP063,Machamp
EP063,Cloyster
EP063,Kingler
EP063,Rhydon
EP063,Mewtwo
EP063,Fearow
EP065,Pikachu
EP065,Meowth
EP065,Togepi
EP065,Krabby
EP065,Muk
EP065,Tauros
EP065,Vulpix
EP065,Mr. Mime
EP065,Krabby
EP065,Doduo
EP065,Persian
EP065,Mewtwo
EP065,Ho-Oh
EP065,Kakuna
EP065,Beedrill
EP065,Pidgey
EP065,Pidgeotto
EP065,Rattata
EP065,Raticate
EP065,Spearow
EP065,Sandshrew
EP065,Nidoran?
EP065,Nidoran?
EP065,Oddish
EP065,Gloom
EP065,Paras
EP065,Parasect
EP065,Mankey
EP065,Primeape
EP065,Growlithe
EP065,Poliwag
EP065,Poliwhirl
EP065,Geodude
EP065,Ponyta
EP065,Rapidash
EP065,Slowpoke
EP065,Seel
EP065,Dewgong
EP065,Onix
EP065,Voltorb
EP065,Electrode
EP065,Exeggcute
EP065,Rhyhorn
EP065,Rhydon
EP065,Horsea
EP065,Goldeen
EP065,Staryu
EP065,Starmie
EP065,Magikarp
EP065,Snorlax
EP066,Pikachu
EP066,Meowth
EP066,Togepi
EP066,Psyduck
EP066,Shellder
EP066,Weezing
EP066,Persian
EP066,Mr. Mime
EP066,Slowpoke
EP066,Slowbro
EP066,Krabby
EP066,Magikarp
EP067,Pikachu
EP067,Meowth
EP067,Togepi
EP067,Bulbasaur
EP067,Pikachu
EP067,Gyarados
EP068,Pikachu
EP068,Meowth
EP068,Togepi
EP068,Bulbasaur
EP068,Arbok
EP068,Weezing
EP068,Mr. Mime
EP068,Gloom
EP068,Dodrio
EP069,Pikachu
EP069,Meowth
EP069,Togepi
EP069,Pidgeotto
EP069,Staryu
EP069,Psyduck
EP069,Vulpix
EP069,Arbok
EP069,Weezing
EP069,Raichu
EP069,Jigglypuff
EP069,Blastoise
EP069,Raticate
EP069,Fearow
EP069,Nidoran?
EP069,Wigglytuff
EP069,Diglett
EP069,Poliwrath
EP069,Abra
EP069,Magnemite
EP069,Doduo
EP069,Cloyster
EP069,Krabby
EP069,Hitmonlee
EP069,Chansey
EP069,Tauros
EP069,Gyarados
EP070,Pikachu
EP070,Meowth
EP070,Togepi
EP070,Arbok
EP070,Weezing
EP070,Mr. Mime
EP070,Meowth
EP070,Meowth
EP070,Persian
EP072,Pikachu
EP072,Meowth
EP072,Togepi
EP072,Pidgeotto
EP072,Krabby
EP072,Muk
EP072,Onix
EP072,Vulpix
EP072,Arbok
EP072,Jigglypuff
EP072,Gengar
EP072,Alakazam
EP072,Jigglypuff
EP073,Pikachu
EP073,Meowth
EP073,Togepi
EP073,Pidgeotto
EP073,Bulbasaur
EP073,Charmander
EP073,Charizard
EP073,Starmie
EP073,Onix
EP073,Arbok
EP073,Weezing
EP073,Kingler
EP073,Rhydon
EP073,Raichu
EP073,Weepinbell
EP073,Kadabra
EP073,Scyther
EP073,Magmar
EP073,Mr. Mime
EP073,Venonat
EP073,Marowak
EP073,Doduo
EP073,Hitmonlee
EP073,Hitmonlee
EP073,Nidoran?
EP073,Chansey
EP073,Flareon
EP074,Pikachu
EP074,Meowth
EP074,Togepi
EP074,Bulbasaur
EP074,Squirtle
EP074,Vulpix
EP074,Weezing
EP074,Victreebel
EP074,Hitmonchan
EP074,Pidgey
EP074,Moltres
EP075,Pikachu
EP075,Meowth
EP075,Togepi
EP075,Krabby
EP075,Kingler
EP075,Mr. Mime
EP075,Exeggutor
EP075,Seadra
EP075,Golbat
EP075,Pidgey
EP075,Pidgeotto
EP075,Raticate
EP075,Sandslash
EP075,Gloom
EP075,Venomoth
EP075,Tentacruel
EP075,Seaking
EP076,Pikachu
EP076,Meowth
EP076,Togepi
EP076,Pidgeotto
EP076,Bulbasaur
EP076,Squirtle
EP076,Kingler
EP076,Onix
EP076,Cloyster
EP076,Arcanine
EP076,Nidorino
EP077,Pikachu
EP077,Meowth
EP077,Togepi
EP077,Bulbasaur
EP077,Muk
EP077,Victreebel
EP077,Nidoking
EP077,Growlithe
EP077,Golem
EP077,Beedrill
EP077,Scyther
EP077,Bellsprout
EP078,Pikachu
EP078,Meowth
EP078,Togepi
EP078,Pidgeotto
EP078,Bulbasaur
EP078,Arbok
EP078,Weezing
EP078,Charmander
EP078,Pikachu
EP078,Butterfree
EP078,Slowbro
EP078,Drowzee
EP078,Magikarp
EP078,Magikarp
EP079,Pikachu
EP079,Meowth
EP079,Togepi
EP079,Pidgeotto
EP079,Bulbasaur
EP079,Charizard
EP079,Squirtle
EP079,Weezing
EP079,Chansey
EP079,Charmander
EP079,Pikachu
EP079,Butterfree
EP071,Pikachu
EP071,Meowth
EP071,Togepi
EP071,Squirtle
EP071,Staryu
EP071,Onix
EP071,Hitmonchan
EP071,Onix
EP071,Sandslash
EP071,Onix
EP080,Pikachu
EP080,Meowth
EP080,Togepi
EP080,Pidgeotto
EP080,Bulbasaur
EP080,Squirtle
EP080,Krabby
EP080,Kingler
EP080,Muk
EP080,Weezing
EP080,Charmander
EP080,Pikachu
EP080,Butterfree
EP080,Spearow
EP080,Tentacool
EP080,Ivysaur
EP080,Rhydon
EP080,Venomoth
EP080,Exeggutor
EP080,Golbat
EP080,Beedrill
EP080,Bellsprout
EP080,Nidorino
EP080,Bulbasaur
EP080,Charmander
EP080,Squirtle
EP080,Raticate
EP080,Pidgeotto
EP080,Oddish
EP080,Gloom
EP080,Tentacool
EP080,Tangela
EP080,Parasect
EP080,Venonat
EP080,Mankey
EP080,Poliwhirl
EP080,Graveler
EP080,Hitmonlee
EP080,Hitmonchan
EP080,Cloyster
EP080,Moltres
EP081,Pikachu
EP081,Meowth
EP081,Togepi
EP081,Pidgeotto
EP081,Pidgeot
EP081,Bulbasaur
EP081,Charizard
EP081,Squirtle
EP081,Goldeen
EP081,Staryu
EP081,Psyduck
EP081,Onix
EP081,Geodude
EP081,Zubat
EP081,Vulpix
EP081,Arbok
EP081,Mr. Mime
EP081,Spearow
EP081,Fearow
EP081,Pidgey
EP081,Pidgeotto
EP081,Spearow
EP081,Butterfree
EP081,Oddish
EP081,Diglett
EP081,Mankey
EP081,Poliwag
EP081,Bellsprout
EP081,Voltorb
EP082,Pikachu
EP082,Meowth
EP082,Togepi
EP082,Bulbasaur
EP082,Squirtle
EP082,Staryu
EP082,Psyduck
EP082,Onix
EP082,Geodude
EP082,Zubat
EP082,Vulpix
EP082,Arbok
EP082,Weezing
EP082,Persian
EP082,Jigglypuff
EP083,Pikachu
EP083,Meowth
EP083,Togepi
EP083,Bulbasaur
EP083,Squirtle
EP083,Staryu
EP083,Psyduck
EP083,Onix
EP083,Geodude
EP083,Zubat
EP083,Vulpix
EP083,Chansey
EP083,Jigglypuff
EP083,Butterfree
EP083,Raticate
EP083,Nidoran?
EP083,Nidoran?
EP083,Vileplume
EP083,Paras
EP083,Weepinbell
EP083,Poliwhirl
EP083,Cloyster
EP083,Magikarp
EP083,Gyarados
EP084,Pikachu
EP084,Meowth
EP084,Togepi
EP084,Lapras
EP084,Venonat
EP084,Weezing
EP084,Beedrill
EP084,Spearow
EP084,Hitmonchan
EP084,Sandshrew
EP084,Voltorb
EP084,Starmie
EP084,Jigglypuff
EP084,Krabby
EP084,Tauros
EP084,Dodrio
EP084,Spearow
EP085,Pikachu
EP085,Meowth
EP085,Togepi
EP085,Squirtle
EP085,Muk
EP085,Lapras
EP085,Psyduck
EP085,Weezing
EP085,Seadra
EP085,Blastoise
EP087,Pikachu
EP087,Meowth
EP087,Togepi
EP087,Lapras
EP087,Staryu
EP087,Venonat
EP087,Marill
EP087,Arbok
EP087,Victreebel
EP087,Cloyster
EP087,Charmeleon
EP087,Onix
EP088,Pikachu
EP088,Meowth
EP088,Togepi
EP088,Muk
EP088,Lapras
EP088,Psyduck
EP088,Marill
EP088,Arbok
EP088,Lickitung
EP088,Weezing
EP088,Victreebel
EP088,Jigglypuff
