Evolving_from,Evolving_to,Level,Condition,Evolution_Type
Bulbasaur,Ivysaur,16,,Level
Ivysaur,Venusaur,32,,Level
Charmander,Charmeleon,16,,Level
Charmeleon,Charizard,36,,Level
Squirtle,Wartortle,16,,Level
Wartortle,Blastoise,36,,Level
Caterpie,Metapod,7,,Level
Metapod,Butterfree,10,,Level
Weedle,Kakuna,7,,Level
Kakuna,Beedrill,10,,Level
Pidgey,Pidgeotto,18,,Level
Pidgeotto,Pidgeot,36,,Level
Rattata,Raticate,20,,Level
Spearow,Fearow,20,,Level
Ekans,Arbok,22,,Level
Sandshrew,Sandslash,22,,Level
Nidoran?,Nidorina,16,,Level
Nidoran?,Nidorino,16,,Level
Zubat,Golbat,22,,Level
Oddish,Gloom,21,,Level
Paras,Parasect,24,,Level
Venonat,Venomoth,31,,Level
Diglett,Dugtrio,26,,Level
Meowth,Persian,28,,Level
Psyduck,Golduck,33,,Level
Mankey,Primeape,28,,Level
Poliwag,Poliwhirl,25,,Level
Abra,Kadabra,16,,Level
Machop,Machoke,28,,Level
Bellsprout,Weepinbell,21,,Level
Tentacool,Tentacruel,30,,Level
Geodude,Graveler,25,,Level
Ponyta,Rapidash,40,,Level
Slowpoke,Slowbro,37,,Level
Magnemite,Magneton,30,,Level
Doduo,Dodrio,31,,Level
Seel,Dewgong,34,,Level
Grimer,Muk,38,,Level
Gastly,Haunter,25,,Level
Drowzee,Hypno,26,,Level
Krabby,Kingler,28,,Level
Voltorb,Electrode,30,,Level
Cubone,Marowak,28,,Level
Tyrogue,Hitmonlee,20,Attack > Defense,Level
Tyrogue,Hitmonchan,20,Attack < Defense,Level
Tyrogue,Hitmontop,20,Attack = Defense,Level
Koffing,Weezing,35,,Level
Rhyhorn,Rhydon,42,,Level
Horsea,Seadra,32,,Level
Goldeen,Seaking,33,,Level
Smoochum,Jynx,30,,Level
Elekid,Electabuzz,30,,Level
Magby,Magmar,30,,Level
Magikarp,Gyarados,20,,Level
Omanyte,Omastar,40,,Level
Kabuto,Kabutops,40,,Level
Dratini,Dragonair,30,,Level
Dragonair,Dragonite,55,,Level
Chikorita,Bayleef,16,,Level
Bayleef,Meganium,32,,Level
Cyndaquil,Quilava,14,,Level
Quilava,Typhlosion,36,,Level
Totodile,Croconaw,18,,Level
Croconaw,Feraligatr,30,,Level
Sentret,Furret,15,,Level
Hoothoot,Noctowl,20,,Level
Ledyba,Ledian,18,,Level
Spinarak,Ariados,22,,Level
Chinchou,Lanturn,27,,Level
Natu,Xatu,25,,Level
Mareep,Flaaffy,15,,Level
Flaaffy,Ampharos,30,,Level
Marill,Azumarill,18,,Level
Hoppip,Skiploom,18,,Level
Skiploom,Jumpluff,27,,Level
Wooper,Quagsire,20,,Level
Wynaut,Wobbuffet,15,,Level
Pineco,Forretress,31,,Level
Snubbull,Granbull,23,,Level
Teddiursa,Ursaring,30,,Level
Slugma,Magcargo,38,,Level
Swinub,Piloswine,33,,Level
Remoraid,Octillery,25,,Level
Houndour,Houndoom,24,,Level
Phanpy,Donphan,25,,Level
Larvitar,Pupitar,30,,Level
Pupitar,Tyranitar,55,,Level
Treecko,Grovyle,16,,Level
Grovyle,Sceptile,36,,Level
Torchic,Combusken,16,,Level
Combusken,Blaziken,36,,Level
Mudkip,Marshtomp,16,,Level
Marshtomp,Swampert,36,,Level
Poochyena,Mightyena,18,,Level
Zigzagoon,Linoone,20,,Level
Wurmple,Silcoon,7,"Random, based on personality",Level
Silcoon,Beautifly,10,,Level
Wurmple,Cascoon,7,"Random, based on personality",Level
Cascoon,Dustox,10,,Level
Lotad,Lombre,14,,Level
Seedot,Nuzleaf,14,,Level
Taillow,Swellow,22,,Level
Wingull,Pelipper,25,,Level
Ralts,Kirlia,20,,Level
Kirlia,Gardevoir,30,,Level
Surskit,Masquerain,22,,Level
Shroomish,Breloom,23,,Level
Slakoth,Vigoroth,18,,Level
Vigoroth,Slaking,36,,Level
Nincada,Ninjask,20,,Level
Nincada,Shedinja,20,with empty spot in party,Level
Whismur,Loudred,20,,Level
Loudred,Exploud,40,,Level
Makuhita,Hariyama,24,,Level
Aron,Lairon,32,,Level
Lairon,Aggron,42,,Level
Meditite,Medicham,37,,Level
