#,Name,Type,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed
1,Bulbasaur,GRASS,318,45,49,49,65,65,45
,,POISON,,,,,,,
2,Ivysaur,GRASS,405,60,62,63,80,80,60
,,POISON,,,,,,,
3,Venusaur,GRASS,525,80,82,83,100,100,80
,,POISON,,,,,,,
4,Charmander,FIRE,309,39,52,43,60,50,65
5,Charmeleon,FIRE,405,58,64,58,80,65,80
6,Charizard,FIRE,534,78,84,78,109,85,100
,,FLYING,,,,,,,
7,Squirtle,WATER,314,44,48,65,50,64,43
8,Wartortle,WATER,405,59,63,80,65,80,58
9,Blastoise,WATER,530,79,83,100,85,105,78
10,Caterpie,BUG,195,45,30,35,20,20,45
11,Metapod,BUG,205,50,20,55,25,25,30
12,Butterfree,BUG,395,60,45,50,90,80,70
,,FLYING,,,,,,,
13,Weedle,BUG,195,40,35,30,20,20,50
,,POISON,,,,,,,
14,Kakuna,BUG,205,45,25,50,25,25,35
,,POISON,,,,,,,
15,Beedrill,BUG,395,65,90,40,45,80,75
,,POISON,,,,,,,
16,Pidgey,NORMAL,251,40,45,40,35,35,56
,,FLYING,,,,,,,
17,Pidgeotto,NORMAL,349,63,60,55,50,50,71
,,FLYING,,,,,,,
18,Pidgeot,NORMAL,479,83,80,75,70,70,101
,,FLYING,,,,,,,
19,Rattata,NORMAL,253,30,56,35,25,35,72
20,Raticate,NORMAL,413,55,81,60,50,70,97
21,Spearow,NORMAL,262,40,60,30,31,31,70
,,FLYING,,,,,,,
22,Fearow,NORMAL,442,65,90,65,61,61,100
,,FLYING,,,,,,,
23,Ekans,POISON,288,35,60,44,40,54,55
24,Arbok,POISON,448,60,95,69,65,79,80
25,Pikachu,ELECTRIC,320,35,55,40,50,50,90
26,Raichu,ELECTRIC,485,60,90,55,90,80,110
27,Sandshrew,GROUND,300,50,75,85,20,30,40
28,Sandslash,GROUND,450,75,100,110,45,55,65
29,Nidoran?,POISON,275,55,47,52,40,40,41
30,Nidorina,POISON,365,70,62,67,55,55,56
31,Nidoqueen,POISON,505,90,92,87,75,85,76
,,GROUND,,,,,,,
32,Nidoran?,POISON,273,46,57,40,40,40,50
33,Nidorino,POISON,365,61,72,57,55,55,65
34,Nidoking,POISON,505,81,102,77,85,75,85
,,GROUND,,,,,,,
35,Clefairy,FAIRY,323,70,45,48,60,65,35
36,Clefable,FAIRY,483,95,70,73,95,90,60
37,Vulpix,FIRE,299,38,41,40,50,65,65
38,Ninetales,FIRE,505,73,76,75,81,100,100
39,Jigglypuff,NORMAL,270,115,45,20,45,25,20
,,FAIRY,,,,,,,
40,Wigglytuff,NORMAL,435,140,70,45,85,50,45
,,FAIRY,,,,,,,
41,Zubat,POISON,245,40,45,35,30,40,55
,,FLYING,,,,,,,
42,Golbat,POISON,455,75,80,70,65,75,90
,,FLYING,,,,,,,
43,Oddish,GRASS,320,45,50,55,75,65,30
,,POISON,,,,,,,
44,Gloom,GRASS,395,60,65,70,85,75,40
,,POISON,,,,,,,
45,Vileplume,GRASS,490,75,80,85,110,90,50
,,POISON,,,,,,,
46,Paras,BUG,285,35,70,55,45,55,25
,,GRASS,,,,,,,
47,Parasect,BUG,405,60,95,80,60,80,30
,,GRASS,,,,,,,
48,Venonat,BUG,305,60,55,50,40,55,45
,,POISON,,,,,,,
49,Venomoth,BUG,450,70,65,60,90,75,90
,,POISON,,,,,,,
50,Diglett,GROUND,265,10,55,25,35,45,95
51,Dugtrio,GROUND,425,35,100,50,50,70,120
52,Meowth,NORMAL,290,40,45,35,40,40,90
53,Persian,NORMAL,440,65,70,60,65,65,115
54,Psyduck,WATER,320,50,52,48,65,50,55
55,Golduck,WATER,500,80,82,78,95,80,85
56,Mankey,FIGHTING,305,40,80,35,35,45,70
57,Primeape,FIGHTING,455,65,105,60,60,70,95
58,Growlithe,FIRE,350,55,70,45,70,50,60
59,Arcanine,FIRE,555,90,110,80,100,80,95
60,Poliwag,WATER,300,40,50,40,40,40,90
61,Poliwhirl,WATER,385,65,65,65,50,50,90
62,Poliwrath,WATER,510,90,95,95,70,90,70
,,FIGHTING,,,,,,,
63,Abra,PSYCHIC,310,25,20,15,105,55,90
64,Kadabra,PSYCHIC,400,40,35,30,120,70,105
65,Alakazam,PSYCHIC,500,55,50,45,135,95,120
66,Machop,FIGHTING,305,70,80,50,35,35,35
67,Machoke,FIGHTING,405,80,100,70,50,60,45
68,Machamp,FIGHTING,505,90,130,80,65,85,55
69,Bellsprout,GRASS,300,50,75,35,70,30,40
,,POISON,,,,,,,
70,Weepinbell,GRASS,390,65,90,50,85,45,55
,,POISON,,,,,,,
71,Victreebel,GRASS,490,80,105,65,100,70,70
,,POISON,,,,,,,
72,Tentacool,WATER,335,40,40,35,50,100,70
,,POISON,,,,,,,
73,Tentacruel,WATER,515,80,70,65,80,120,100
,,POISON,,,,,,,
74,Geodude,ROCK,300,40,80,100,30,30,20
,,GROUND,,,,,,,
75,Graveler,ROCK,390,55,95,115,45,45,35
,,GROUND,,,,,,,
76,Golem,ROCK,495,80,120,130,55,65,45
,,GROUND,,,,,,,
77,Ponyta,FIRE,410,50,85,55,65,65,90
78,Rapidash,FIRE,500,65,100,70,80,80,105
79,Slowpoke,WATER,315,90,65,65,40,40,15
,,PSYCHIC,,,,,,,
80,Slowbro,WATER,490,95,75,110,100,80,30
,,PSYCHIC,,,,,,,
81,Magnemite,ELECTRIC,325,25,35,70,95,55,45
,,STEEL,,,,,,,
82,Magneton,ELECTRIC,465,50,60,95,120,70,70
,,STEEL,,,,,,,
83,Farfetch'd,NORMAL,377,52,90,55,58,62,60
,,FLYING,,,,,,,
84,Doduo,NORMAL,310,35,85,45,35,35,75
,,FLYING,,,,,,,
85,Dodrio,NORMAL,470,60,110,70,60,60,110
,,FLYING,,,,,,,
86,Seel,WATER,325,65,45,55,45,70,45
87,Dewgong,WATER,475,90,70,80,70,95,70
,,ICE,,,,,,,
88,Grimer,POISON,325,80,80,50,40,50,25
89,Muk,POISON,500,105,105,75,65,100,50
90,Shellder,WATER,305,30,65,100,45,25,40
91,Cloyster,WATER,525,50,95,180,85,45,70
,,ICE,,,,,,,
92,Gastly,GHOST,310,30,35,30,100,35,80
,,POISON,,,,,,,
93,Haunter,GHOST,405,45,50,45,115,55,95
,,POISON,,,,,,,
94,Gengar,GHOST,500,60,65,60,130,75,110
,,POISON,,,,,,,
95,Onix,ROCK,385,35,45,160,30,45,70
,,GROUND,,,,,,,
96,Drowzee,PSYCHIC,328,60,48,45,43,90,42
97,Hypno,PSYCHIC,483,85,73,70,73,115,67
98,Krabby,WATER,325,30,105,90,25,25,50
99,Kingler,WATER,475,55,130,115,50,50,75
100,Voltorb,ELECTRIC,330,40,30,50,55,55,100
101,Electrode,ELECTRIC,490,60,50,70,80,80,150
102,Exeggcute,GRASS,325,60,40,80,60,45,40
,,PSYCHIC,,,,,,,
103,Exeggutor,GRASS,530,95,95,85,125,75,55
,,PSYCHIC,,,,,,,
104,Cubone,GROUND,320,50,50,95,40,50,35
105,Marowak,GROUND,425,60,80,110,50,80,45
106,Hitmonlee,FIGHTING,455,50,120,53,35,110,87
107,Hitmonchan,FIGHTING,455,50,105,79,35,110,76
108,Lickitung,NORMAL,385,90,55,75,60,75,30
109,Koffing,POISON,340,40,65,95,60,45,35
110,Weezing,POISON,490,65,90,120,85,70,60
111,Rhyhorn,GROUND,345,80,85,95,30,30,25
