Game_number,Penalty_Number_,Event_Year,Winner,Full_Time_Score,Loser,Winning_Team_GK,Winning_team_Taker,Losing_team_Taker,Losing_Team_GK,Round,Game_Date
1,1,"1982,", West Germany,3–3, France,Schumacher,Kaltz Penalty scored,Penalty scored Giresse,Ettori,Semi-finals,8-Jul
1,2,"1982,", West Germany,3–3, France,Schumacher,Breitner Penalty scored,Penalty scored Amoros,Ettori,Semi-finals,8-Jul
1,3,"1982,", West Germany,3–3, France,Schumacher,Stielike Penalty missed,Penalty scored Rocheteau,Ettori,Semi-finals,8-Jul
1,4,"1982,", West Germany,3–3, France,Schumacher,Littbarski Penalty scored,Penalty missed Six,Ettori,Semi-finals,8-Jul
1,5,"1982,", West Germany,3–3, France,Schumacher,Rummenigge Penalty scored,Penalty scored Platini,Ettori,Semi-finals,8-Jul
1,6,"1982,", West Germany,3–3, France,Schumacher,Hrubesch Penalty scored,Penalty missed Bossis,Ettori,Semi-finals,8-Jul
2,1,"1986,", France,1–1, Brazil,Bats,Stopyra Penalty scored,Penalty missed Sócrates,Carlos,Quarter-finals,21-Jun
2,2,"1986,", France,1–1, Brazil,Bats,Amoros Penalty scored,Penalty scored Alemão,Carlos,Quarter-finals,21-Jun
2,3,"1986,", France,1–1, Brazil,Bats,Bellone Penalty scored,Penalty scored Zico,Carlos,Quarter-finals,21-Jun
2,4,"1986,", France,1–1, Brazil,Bats,Platini Penalty missed,Penalty scored Branco,Carlos,Quarter-finals,21-Jun
2,5,"1986,", France,1–1, Brazil,Bats,Fernández Penalty scored,Penalty missed Júlio César,Carlos,Quarter-finals,21-Jun
3,1,"1986,", West Germany,0–0, Mexico,Schumacher,Allofs Penalty scored,Penalty scored Negrete,Larios,Quarter-finals,21-Jun
3,2,"1986,", West Germany,0–0, Mexico,Schumacher,Brehme Penalty scored,Penalty missed Quirarte,Larios,Quarter-finals,21-Jun
3,3,"1986,", West Germany,0–0, Mexico,Schumacher,Matthäus Penalty scored,Penalty missed Servín,Larios,Quarter-finals,21-Jun
3,4,"1986,", West Germany,0–0, Mexico,Schumacher,Littbarski Penalty scored,,Larios,Quarter-finals,21-Jun
4,1,"1986,", Belgium,1–1, Spain,Pfaff,Claesen Penalty scored,Penalty scored Señor,Zubizarreta,Quarter-finals,22-Jun
4,2,"1986,", Belgium,1–1, Spain,Pfaff,Scifo Penalty scored,Penalty missed Eloy,Zubizarreta,Quarter-finals,22-Jun
4,3,"1986,", Belgium,1–1, Spain,Pfaff,Broos Penalty scored,Penalty scored Chendo,Zubizarreta,Quarter-finals,22-Jun
4,4,"1986,", Belgium,1–1, Spain,Pfaff,Vervoort Penalty scored,Penalty scored Butragueño,Zubizarreta,Quarter-finals,22-Jun
4,5,"1986,", Belgium,1–1, Spain,Pfaff,L. Van der Elst Penalty scored,Penalty scored Víctor,Zubizarreta,Quarter-finals,22-Jun
5,1,"1990,", Republic of Ireland,0–0, Romania,Bonner,Sheedy Penalty scored,Penalty scored Hagi,Lung,Second round,25-Jun
5,2,"1990,", Republic of Ireland,0–0, Romania,Bonner,Houghton Penalty scored,Penalty scored Lupu,Lung,Second round,25-Jun
5,3,"1990,", Republic of Ireland,0–0, Romania,Bonner,Townsend Penalty scored,Penalty scored Rotariu,Lung,Second round,25-Jun
5,4,"1990,", Republic of Ireland,0–0, Romania,Bonner,Cascarino Penalty scored,Penalty scored Lupescu,Lung,Second round,25-Jun
5,5,"1990,", Republic of Ireland,0–0, Romania,Bonner,O'Leary Penalty scored,Penalty missed Timofte,Lung,Second round,25-Jun
6,1,"1990,", Argentina,0–0, Yugoslavia,Goycochea,Serrizuela Penalty scored,Penalty missed Stojkovi?,Ivkovi?,Quarter-finals,30-Jun
6,2,"1990,", Argentina,0–0, Yugoslavia,Goycochea,Burruchaga Penalty scored,Penalty scored Prosine?ki,Ivkovi?,Quarter-finals,30-Jun
6,3,"1990,", Argentina,0–0, Yugoslavia,Goycochea,Maradona Penalty missed,Penalty scored Savi?evi?,Ivkovi?,Quarter-finals,30-Jun
6,4,"1990,", Argentina,0–0, Yugoslavia,Goycochea,Troglio Penalty missed,Penalty missed Brnovi?,Ivkovi?,Quarter-finals,30-Jun
6,5,"1990,", Argentina,0–0, Yugoslavia,Goycochea,Dezotti Penalty scored,Penalty missed Hadžibegi?,Ivkovi?,Quarter-finals,30-Jun
7,1,"1990,", Argentina,1–1, Italy,Goycochea,Serrizuela Penalty scored,Penalty scored Baresi,Zenga,Semi-finals,3-Jul
7,2,"1990,", Argentina,1–1, Italy,Goycochea,Burruchaga Penalty scored,Penalty scored R. Baggio,Zenga,Semi-finals,3-Jul
7,3,"1990,", Argentina,1–1, Italy,Goycochea,Olarticoechea Penalty scored,Penalty scored De Agostini,Zenga,Semi-finals,3-Jul
7,4,"1990,", Argentina,1–1, Italy,Goycochea,Maradona Penalty scored,Penalty missed Donadoni,Zenga,Semi-finals,3-Jul
7,5,"1990,", Argentina,1–1, Italy,Goycochea,,Penalty missed Serena,Zenga,Semi-finals,3-Jul
8,1,"1990,", West Germany,1–1, England,Illgner,Brehme Penalty scored,Penalty scored Lineker,Shilton,Semi-finals,4-Jul
8,2,"1990,", West Germany,1–1, England,Illgner,Matthäus Penalty scored,Penalty scored Beardsley,Shilton,Semi-finals,4-Jul
8,3,"1990,", West Germany,1–1, England,Illgner,Riedle Penalty scored,Penalty scored Platt,Shilton,Semi-finals,4-Jul
8,4,"1990,", West Germany,1–1, England,Illgner,Thon Penalty scored,Penalty missed Pearce,Shilton,Semi-finals,4-Jul
8,5,"1990,", West Germany,1–1, England,Illgner,,Penalty missed Waddle,Shilton,Semi-finals,4-Jul
9,1,"1994,", Bulgaria,1–1, Mexico,Mihaylov,Balakov Penalty missed,Penalty missed García Aspe,Campos,Second round,5-Jul
9,2,"1994,", Bulgaria,1–1, Mexico,Mihaylov,Genchev Penalty scored,Penalty missed Bernal,Campos,Second round,5-Jul
9,3,"1994,", Bulgaria,1–1, Mexico,Mihaylov,Borimirov Penalty scored,Penalty missed Rodríguez,Campos,Second round,5-Jul
9,4,"1994,", Bulgaria,1–1, Mexico,Mihaylov,Lechkov Penalty scored,Penalty scored Suárez,Campos,Second round,5-Jul
10,1,"1994,", Sweden,2–2, Romania,Ravelli,Mild Penalty missed,Penalty scored R?ducioiu,Prunea,Quarter-finals,10-Jul
10,2,"1994,", Sweden,2–2, Romania,Ravelli,K. Andersson Penalty scored,Penalty scored Hagi,Prunea,Quarter-finals,10-Jul
10,3,"1994,", Sweden,2–2, Romania,Ravelli,Brolin Penalty scored,Penalty scored Lupescu,Prunea,Quarter-finals,10-Jul
10,4,"1994,", Sweden,2–2, Romania,Ravelli,Ingesson Penalty scored,Penalty missed Petrescu,Prunea,Quarter-finals,10-Jul
