Venue,Sport,lat_lon
Olympic Stadium,Opening Ceremony,"35.67786383266573, 139.71366292613558"
Olympic Stadium,Closing Ceremony,"35.67786383266573, 139.71366292613558"
Olympic Stadium,Athletics,"35.67786383266573, 139.71366292613558"
Olympic Stadium,Football,"35.67786383266573, 139.71366292613558"
Tokyo Metropolitan Gymnasium,Table Tennis,"35.679538129089025, 139.71224149090568"
Yoyogi National Stadium,Handball,"35.66773432212354, 139.70019944667044"
Nippon Budokan,Judo,"35.69328639505304, 139.74961103902368"
Nippon Budokan,Karate,"35.69328639505304, 139.74961103902368"
Tokyo International Forum,Weightlifting,"35.67697382447295, 139.76380194086386"
Kokugikan Arena,Boxing,"35.69708642863296, 139.79336043405075"
Equestrian Park,Equestrian,"35.6369951864692, 139.63364991415503"
Musashino Forest Sport Plaza,Badminton,"35.66516093172041, 139.52508181634872"
Musashino Forest Sport Plaza,Modern Pentathlon,"35.66516093172041, 139.52508181634872"
Tokyo Stadium,Football,"35.66446761779039, 139.52756286092847"
Tokyo Stadium,Modern Pentathlon,"35.66446761779039, 139.52756286092847"
Tokyo Stadium,Rugby,"35.66446761779039, 139.52756286092847"
Musashinonomori Park,Cycling Road,"35.67696884809061, 139.52330085209422"
Ariake Arena,Volleyball,"35.643512573489566, 139.79473745950065"
Ariake Gymnastics Centre,Artistic Gymnastics,"35.64167062421445, 139.79257372832834"
Ariake Gymnastics Centre,Rhythmic Gymnastics,"35.64167062421445, 139.79257372832834"
Ariake Gymnastics Centre,Trampoline Gymnastics,"35.64167062421445, 139.79257372832834"
Ariake Urban Sports Park,Cycling BMX Freestyle,"35.63870992266322, 139.78568228668425"
Ariake Urban Sports Park,Cycling BMX Racing,"35.63870992266322, 139.78568228668425"
Ariake Urban Sports Park,Skateboarding,"35.63870992266322, 139.78568228668425"
Ariake Tennis Park,Tennis,"35.63522638292027, 139.78961039488578"
Odaiba Marine Park,Marathon Swimming,"35.630141395249126, 139.7762643781928"
Odaiba Marine Park,Triathlon,"35.630141395249126, 139.7762643781928"
Shiokaze Park,Beach Volleyball,"35.62426208355979, 139.76843705331703"
Aomi Urban Sports Park,3x3 Basketball,"35.62349586496833, 139.7773659975334"
Aomi Urban Sports Park,Sport Climbing,"35.62349586496833, 139.7773659975334"
Oi Hockey Stadium,Hockey,"35.59269081886343, 139.75405101776522"
Sea Forest Cross-Country Course,Equestrian,"35.60759886347745, 139.80957901217784"
Sea Forest Waterway,Canoe Sprint,"35.60796457817903, 139.8147625026683"
Sea Forest Waterway,Rowing,"35.60796457817903, 139.8147625026683"
Kasai Canoe Slalom Centre,Canoe Slalom,"35.643601065815034, 139.85504382104045"
Yumenoshima Park Archery Field,Archery,"35.65025376166539, 139.82892847281852"
Tokyo Aquatics Centre,Artistic Swimming,"35.65154002713155, 139.81526845227876"
Tokyo Aquatics Centre,Diving,"35.65154002713155, 139.81526845227876"
Tokyo Aquatics Centre,Swimming,"35.65154002713155, 139.81526845227876"
Tatsumi Water Polo Centre,Water Polo,"35.647754733125474, 139.8195228619168"
Sapporo Odori Park,Athletics,"43.05988480448009, 141.34661238831993"
Makuhari Messe Hall,Fencing,"35.64977449961884, 140.03645074412134"
Makuhari Messe Hall,Taekwondo,"35.64977449961884, 140.03645074412134"
Makuhari Messe Hall,Wrestling,"35.64977449961884, 140.03645074412134"
Tsurigasaki Surfing Beach,Surfing,"35.336127096773154, 140.39491001303773"
Saitama Super Arena,Basketball ,"35.895211316703495, 139.6314078235249"
Asaka Shooting Range,Shooting,"35.7811380207295, 139.58779467064903"
Kasumigaseki Country Club,Golf,"35.899811713519725, 139.40574870339583"
Enoshima Yacht Harbour,Sailing,"35.29979336326726, 139.48406276201857"
Izu Velodrome,Cycling Track,"35.01222390470476, 139.01558129892814"
Izu MTB Course,Cycling Mountain Bike,"35.008554056580564, 139.01269403251226"
Fuji International Speedway,Cycling Road,"35.372702911045124, 138.92936859906928"
Fukushima Azuma Baseball Stadium,Baseball/Softball,"37.72216480340486, 140.3640114979229"
Yokohama Baseball Stadium,Baseball/Softball,"35.44332814187166, 139.64046498472052"
Sapporo Dome,Football,"43.01517544330762, 141.41041300340524"
Miyagi Stadium,Football,"38.33557331725407, 140.95096377309127"
Ibaraki Kashima Stadium,Football,"35.99213056967567, 140.64152126184229"
Saitama Stadium,Football,"35.903408731875246, 139.71816554795595"
International Stadium Yokohama,Football,"35.51002465197473, 139.60687650162822"
