Flag,Player,Session,Score,Session Date
Actual,Player 1,Cardio,3,3/1/2022
Carried over,Player 1,Cardio,10,5/1/2022
Actual,Player 1,Cardio,10,4/1/2022
Actual,Player 1,Cardio,10,6/1/2022
Actual,Player 1,Cardio,7,7/1/2022
Actual,Player 1,Cardio,3,10/1/2022
Carried over,Player 1,Cardio,7,14/01/2022
Carried over,Player 1,Cardio,7,13/01/2022
Carried over,Player 1,Cardio,7,12/1/2022
Actual,Player 1,Cardio,7,11/1/2022
Actual,Player 1,Cardio,8,17/01/2022
Carried over,Player 1,Cardio,8,19/01/2022
Actual,Player 1,Cardio,8,18/01/2022
Carried over,Player 1,Cardio,6,21/01/2022
Actual,Player 1,Cardio,6,20/01/2022
Carried over,Player 1,Cardio,3,25/01/2022
Actual,Player 1,Cardio,3,24/01/2022
Carried over,Player 1,Cardio,4,28/01/2022
Carried over,Player 1,Cardio,4,27/01/2022
Actual,Player 1,Cardio,4,26/01/2022
Carried over,Player 1,Cardio,8,1/2/2022
Actual,Player 1,Cardio,8,31/01/2022
Actual,Player 1,Cardio,6,2/2/2022
Actual,Player 1,Cardio,10,3/2/2022
Carried over,Player 1,Cardio,8,8/2/2022
Carried over,Player 1,Cardio,8,7/2/2022
Actual,Player 1,Cardio,8,4/2/2022
Actual,Player 1,Cardio,7,9/2/2022
Actual,Player 1,Cardio,9,10/2/2022
Actual,Player 1,Cardio,9,11/2/2022
Actual,Player 1,Cardio,7,14/02/2022
Carried over,Player 1,Cardio,8,16/02/2022
Actual,Player 1,Cardio,8,15/02/2022
Actual,Player 1,Cardio,8,17/02/2022
Actual,Player 1,Cardio,10,18/02/2022
Carried over,Player 1,Cardio,6,22/02/2022
Actual,Player 1,Cardio,6,21/02/2022
Actual,Player 1,Cardio,9,23/02/2022
Actual,Player 1,Cardio,5,24/02/2022
Carried over,Player 1,Cardio,3,28/02/2022
Actual,Player 1,Cardio,3,25/02/2022
Carried over,Player 1,Cardio,5,2/3/2022
Actual,Player 1,Cardio,5,1/3/2022
Carried over,Player 1,Cardio,3,8/3/2022
Carried over,Player 1,Cardio,3,7/3/2022
Carried over,Player 1,Cardio,3,4/3/2022
Actual,Player 1,Cardio,3,3/3/2022
Carried over,Player 1,Cardio,8,10/3/2022
Actual,Player 1,Cardio,8,9/3/2022
Carried over,Player 1,Cardio,9,14/03/2022
Actual,Player 1,Cardio,9,11/3/2022
Carried over,Player 1,Cardio,5,16/03/2022
Actual,Player 1,Cardio,5,15/03/2022
Actual,Player 1,Cardio,9,17/03/2022
Actual,Player 1,Cardio,10,18/03/2022
Carried over,Player 1,Cardio,3,25/03/2022
Carried over,Player 1,Cardio,3,24/03/2022
Carried over,Player 1,Cardio,3,23/03/2022
Carried over,Player 1,Cardio,3,22/03/2022
Actual,Player 1,Cardio,3,21/03/2022
Actual,Player 1,Cardio,5,28/03/2022
Actual,Player 1,Cardio,8,29/03/2022
Actual,Player 1,Cardio,3,30/03/2022
